id,abv,available,description,glass,ibu,isOrganic,name,originalGravity,srm
10,4.7,Available year round as a staple beer.,"The true Summer Ale of Central Oregon! A Golden Ale, light and smooth. You can taste the craftsmanship in this easy drinking ale with a smooth blend of Cascade and Sterling hops and finished with a touch of Honey malt to balance it out. This is a great introduction if you are new to the world of Craft Brewing.  For established craft enthusiasts, 10 Barrel Summer Ale is a good reprieve from overly hopped and overly malty alternatives.",Pint,26.0,N,"""Mike Saw a Sasquatch"" Session Ale",1.045,4
11,7.0,"Available at the same time of year, every year.",,Pint,60.0,N,Blood Orange IPA,1.07,7
12,8.0,"Available at the same time of year, every year.","The foundation of Mimi’s is crafted from dark roasted malts, flaked oats and resiny whole cone hops. Doses of pure maple syrup, Dutch cocoa and semisweet chocolate are added directly to the boil kettle. As a finishing touch, we infuse the fermented beer with locally roasted Guatemalan coffee beans. Mimi’s is a jet black full bodied stout with complex flavor and smooth coffee aroma.",,73.0,N,Mimi's Breakfast Stout,1.08,40
13,5.0,Available year round as a staple beer.,Our take on a traditional Irish Ale. This beer is light-bodied with a dry finish & a pleasant hint of roastiness.,Pint,11.7,N,Roasted Irish Ale,1.048,15
14,6.8,"Available at the same time of year, every year.","This dark beer pays homage to Des Moines’ history as a late 19th century coal town. Confluence Brewery is located on Thomas Beck Road, which is named after an English immigrant who developed extensive (but now long abandoned) coal mine holdings in Des Moines, including some near our brewery. The dark color comes from black wheat, which is combined with two-row base malt and a good portion of caramel malt and some flaked rye to add a subtle dry, spiciness. Don’t let the color fool you, this dark beer is not roasty or stout-like. We used a special blend of hops, including Nelson Sauvin from Australia, to give it a unique flavor and aroma profile completely distinct from its India Pale Ale cousin, Des Moines IPA.",,58.0,N,Thomas Beck Black IPA,1.056,35
15,6.2,Limited availability.,A traditional porter with a subtle smoked malt flavor.,,27.0,N,Big Black Smoke,1.04,20
16,0.2,Available year round as a staple beer.,"100 percent flavor — without alcohol. Deliciously-fresh, non-alcoholic Welde No1 Premium Pils and natural lemon juice perfectly complement each other and are the perfect refreshment for every occasion.",,15.0,N,Welde Naturradler Non-Alcoholic,1.032,32
17,6.2,"Available at the same time of year, every year.","Copper-hued and medium-bodied, Nestucca ESB features an English-inspired herbal and grassy aroma balanced with a toasted bread and toffee-like malt flavor. A subtle fruitiness merges with caramel flavors and a clean, hoppy finish to make this beer both refreshing and full of character. Dry hopped for a delightful fresh hop aroma!",Pint,48.0,N,Nestucca ESB,1.033,9
18,7.0,Available year round as a staple beer.,"No Avocados were harmed in the brewing of this beer. Instead, we add Avocado Honey: the bees go out into the Avocado orchards and return with a gourmet, amber color honey. We add this to the boil while brewing resulting in an ale that quite literally has the taste of sunlight in every sip. Honey malt and Sterling Hops combine for a uniquely smooth and a slightly sweet finish.",,19.0,N,Avocado Honey Ale,1.03,98
19,6.25,Available year round as a staple beer.,The American two row malt with a hint of German biscuit gives the beer a crystal clear golden color and a brilliant white head.  The dry hopping provides the beer with pleasant notes of grapefruit and citrus aroma.  A very light body and medium carbonation accents the American hop profile resulting in an easy to drink beer that finishes with a hint of grapefruit and pine.  A refreshing IPA that in not over or under bitter making it a great on its own or great companion to washing down that barbecue or compliment the heat of the native green chile.,Pint,72.0,N,Almanac IPA,1.06,5
20,7.2,"Available at the same time of year, every year.",Rye’t Off is our seasonal spring release made with an 18% rye grain-bill. Our Biére de Mars or “beer for March” has a deep reddish amber hue and is designed to be a clean refreshing beer for the spring. Earth and citrus hops round out the sweet notes provided by Hunter’s Farm wildflower honey and a plentiful amount of rye malt contributes a mild spiciness.,,30.0,N,Rye’t Off,1.06,9
21,6.1,Limited availability.,"A super-smooth pale with lemon, pine and citrus flavors.",,40.0,Y,Goofer Dust,1.044,11
22,13.5,Limited availability.,"This righteously flavorful imperial stout has been a favorite among our fans—and us—since its inception in 2013. In celebration of its third brewing, we’ve upped the barrel-aging quotient for 2015, adding to the mix a version of last year’s vintage that we aged in bourbon barrels for a year. This whopping, complex stout will cellar beautifully—if you can wait that long.",,45.0,Y,Stone Farking Wheaton w00tstout 3.0,1.08,Over 40
23,4.5,Available year round as a staple beer.,"Canadian Wheat Ale
A special blend of 50% wheat malt and 50% barley gives this unique unfiltered Canadian Wheat Ale a distinctive hazy, golden colour and a fresh tangy character. The choice is clear. The beer isn't.",Pint,8.0,N,Velvet Fog,1.036,4
24,4.8,Available during the summer months.,"Inspired by Ohio’s “little sure shot” Annie Oakley, our Session Wheat IPA is peppered with rounds of whole orange peel and fully loaded with Jarrylo hops.",Weizen,40.0,Y,Sharpshooter Session Wheat IPA,1.034,5
25,5.6,Available year round as a staple beer.,Our undisputed flagship beer.,,22.0,N,Knuckle Head Red,1.056,15
26,5.2,Available year round as a staple beer.,"A careful selection of Northwest hops, premium barley, and our unique yeast give this ale a rich and complex malty middle with a snappy hop finish. It's truly a micro that finishes crisp, clean, and smooth.",Pint,38.0,N,Manny's Pale Ale,1.05,11
27,4.7,Limited availability.,"Hefeweizen may be hard to say, but this one is easy to drink. Hefe-What?! is a crisp and refreshing hefeweizen. Traditional clove and banana notes created by the yeast blend nicely with the unique citrus flavors from the addition of grapefruit peel and coriander. If you’d like to garnish it with fruit, forget about a lemon wedge or orange slice; you deserve better! We recommend a huge slice of a Texas grown Ruby Red Grapefruit.

Made with white wheat, two row, and honey malts. Hopped with Tettnanger and Cascade hops. Spiced with grapefruit peel and coriander.",Weizen,12.7,N,Hefe-What?! Hefeweizen,1.047,3
28,4.5,Available year round as a staple beer.,"This beer is named after Jason and his band of Argonauts who set out on a quest for the fleece in order to place Jason rightfully on the throne of  Thessaly.  Golden Fleece BPA is an easy-drinking, refreshing beer yet has enough character to please the beer connoisseur.  Local malt from Riverbend Malt House is used to add to the flavor complexity.",Tulip,32.0,N,Golden Fleece BPA,1.044,22
29,5.0,"Available at the same time of year, every year.","We took a detour from playing with American Pale Ales to cross the pond with an English inspired Pale Ale. Instead of dry hopping, copious amounts of East Kent Golding and Northern Brewer hops were added late in the kettle for a nuanced earthy hop character. Its modest malt character is countered by a noticeable dryness.",,25.0,Y,EKG Pale English inspired pale Ale,1.04,5
30,4.5,Available during the summer months.,"This session IPA is built on the foundation of delicate light malts. This allows us to showcase some of the most interesting and effervescent American hops in a way we have never before done.  We saved over 75% of the hops used in this recipe to add after the batch was boiled, allowing the distinct fragrance of grapefruit, apricot and pine to be preserved as much as possible in the finished beer. With a crisp, but subtle bitterness, a refreshingly light malt character, and a 4.5 ABV, this is the perfect warm weather beverage for those who think flavor is just as important as refreshment.",Pint,50.0,N,Campside,1.034,2
31,6.0,"Available at the same time of year, every year.",This time of year demands a bold flavor. Green Man’s beloved stout delivers. An impressive blend of roasted black and chocolate malts creates an opaque color and alluring depth. A distinctive blend of hops allows the balanced flavor to shine. The Forester personifies a trustworthy companion for winter’s unpredictable darkness.,,60.0,N,Forester,1.05,40
32,6.7,Available year round as a staple beer.,"Jacaranda is the flagship beer of Claremont Craft Ales. This wonderfully balanced beer appeals to drinkers of all stripes thanks to the complex malt character of the rye. The copious amounts of Centennial hops balance perfectly with the spiciness
and pepperiness of the rye malt.",Pint,63.0,N,Jacaranda Rye IPA,1.065,11
33,6.6,Available year round as a staple beer.,"Hard Deck is an US West Coast style India Pale Ale (American IPA) that is ‘insert generic description about bursting with bla bla bla’.  We could talk this beer up, but what’s the point, you probably won’t like the ruthless assault on your nasal cavity and you’ll almost certainly hate the full bodied malt base.  Dug would say it needs more hops, but he would say the same thing with a fist full of hops in his gob.  Other IPA’s tend to stick to the rules, if you don’t like our take on an IPA, as our good friend Jester would say; “Get your butt’s above the hard deck and return to base immediately”.  All we know is we love it, but don’t take our word for it….",,60.0,N,Hard Deck,1.06,14
34,7.5,Limited availability.,"For our 4th anniversary, we turned to one of our greatest inspirations, the rich brewing tradition of Great Britain.

(512) FOUR is a classic English-style Strong Ale. The biscuity Maris Otter and caramelly Crystal malts contribute notes of toast, toffee, and dried fruits, which are perfectly balanced with a blend of authentic UK Fuggle and East Kent Golding hops. Dry-hopped with Northdown, (512) FOUR is a complex and satisfying ale.",Pint,35.0,N,(512) FOUR,1.06,8
35,7.0,Available year round as a staple beer.,"A bitter beer for the sweetest coast, our West Coast IPA hits major-key notes of citrus and flower, but finishes with a mellowing, hoppy flourish. Smooth and spirited at the same time? Only on the West Coast.",,70.0,N,IPA,1.06,9
36,6.1,Limited availability.,"Available only at Nationwide Arena and the taproom, Goon is a Strong American Pale Ale that scoffs at fruity hop trends and brings a dank and piney aggression to the ice. With Magnum, Northern Brewer, Chinook, and Green Bullet hops in tow, Goon lives up to its reputation as a hard hitter. Drop your gloves and take a swig.",Pint,65.0,N,Goon,1.05,6
37,6.7,"Available at the same time of year, every year.","Doppel means double and bock is a higher strength German lager. This style was originally created by Franciscan monks in Germany known as Paulaners. It was used as a source of nutrients during times of fasting such as Lent. Liquid bread, basically. It is a showcase for malt aromas and flavors. Being a lager, it is cold conditioned for long periods to smooth out flavors. Our Doppelbock has caramel–like aromas, very low roast, and a hint of licorice in the aroma.",,29.0,N,Doppelbock,1.074,15
38,7.7,Limited availability.,"A special batch from our Pilot Program: A dark, malty IPA made with a special blend of rich crystal and roasted malts and hopped with such favorites as Centennial, Cascade, Apollo, and Amarillo.",,60.0,N,Dark Racer,1.06,14
39,6.6,Available year round as a staple beer.,"Our American Pale Ale was brewed with leisure in mind. Whether you are making the turn or watching the game with friend, it is the perfect compliment to a liesure lifestyle.

Brewed with 2-Row and Victory Malts, and a generous helping of hops during the boil, and dry hopped with Amarillo and Simcoe for 1 week before kegging and canning.",Pint,59.0,N,Back Nine,1.044,9
40,6.1,Available year round as a staple beer.,,Pint,29.0,N,Brown Ale,1.04,26
41,4.5,Available year round as a staple beer.,"Richly reward yourself with Silas, a farmhouse ale with good moral character and light hearted attitude. Silas is designed for all occasions and will most definitely put a smile on your face after the first sip. A New Zealand hop focus, European malt character and brewers’ tears (of the happy kind) aid your journey into this smooth, joyful and crisp ale designed for all beer lovers. Continue that positive attitude or cheer up with Scarlet Lane Brewing Company’s Saison de SILAS",,40.0,N,Saison De Silas,1.055,8
42,5.5,Available year round as a staple beer.,"Our flagship brand; this medium bodied amber ale starts with a rich malt flourish that’s kept in perfect balance by a smooth hop finish. This MBC original is similar to a German style malt beers.

I have been brewing the Louie’s recipe for 15 years now. Brewing this beer is like wearing a favorite shirt or old hat; it’s reliable and comfortable. I look forward to the rich and complex malt aromas that are released during the mash, you might also catch some caramel and earthy notes. A portion of the malt bill is honey malt from Garnbrinus Malting Co. It adds that sour and honey aroma to the ale. Since the malt is really the highlight of this brew we kept it simple on the hops and the yeast. The yeast strain we use produces a subtle dried fruit flavor. We changed the yeast strain about 12 years ago to cut down on the BU’s and the malt bill has changed very slightly since we started brewing it.",Pint,24.0,N,Louie's Demise,1.055,12
43,9.8,"Available at the same time of year, every year.",Belgian tripel grain bill with black malt added hopped like an American Imperial IPA,Tulip,88.0,N,Midnight Monk,1.059,20
44,6.5,Available during the winter months.,A pint for Pa Conway! Our co-owners’ grandfather and policeman who’d likely uphold that an Irish Ale with full-bodied caramel malt flavors is just the ticket.,Pint,25.0,N,Conway's Irish Ale,1.04,22
45,5.1,Available year round as a staple beer.,"Every brewer knows that bad water cannot make great beer, that's why our Pilsner is a classic version of the famous Bohemian-style beer. The Czech Republic invented the pilsner due its unusually soft water around 1842. Since Arvada, CO also has great soft water, this style of beer is well suited for brewing. It's light color comes from the lightest of the barley malts available and it is well-hopped to maintain its drinkability.

""Om Namah"" is a traditional Indian salutation used for greeting or parting. It is usually accompanied with a hand gesture and slight bow.

(used to be called Namaste Pilsner)",Pilsner,34.0,N,Om Namah Pilsner,1.044,4
46,5.7,"Available at the same time of year, every year.","Seven different malts and three different hops go into our Porter for a smooth yet complex flavor. Ost offers light roast malt with a rich smoothness and a dry finish. Ideally served at 50-55F to best reveal its chocolate, caramel, coffee, and roasted malt notes.",Pint,44.0,N,Ost,1.045,30
47,4.6,Available year round as a staple beer.,"Inspired by our family's 1867 recipe, Leinenkugel's Original is brewed with Pale malts and Cluster hops. Its crisp, classic flavor has been carrying the Leinenkugel name for five generations.",Pint,17.0,N,Original,1.044,6
48,5.4,Available year round as a staple beer.,"An American Wheat Ale the way it’s supposed to be. Crisp and refreshing, golden in color with a white head, the Fieldhouse Wheat is moderately hopped with Amarillo hops for a thoroughly friendly experience.",Pint,25.0,N,Fieldhouse Wheat,1.056,4
49,7.5,Available during the fall months.,"Scotch Ales are some of the world's most flavorful beers. The specially roasted and kilned malts used in the mash impart roasted, caramel, and raisin sweetness to the flavor profile. Our ale is brewed with black roasted barley and peat-smoked malt, adding even more complexity to the palate. It is gently hopped, fermented cool and aged cold for exceptional smoothness. The result is a copper-brown color and a pleasant mouthfeel and body.",,21.0,N,Sheep Eater,1.092,21
50,4.5,Available year round as a staple beer.,"We call this an “Enlightened Ale” – a perfectly filtered beer that knows its place.  With its smooth, effervescent light body and clean and crisp finish, it’s the beer you want to grab anytime of the day – whether you’re tooling around the lake, finishing your yard, sitting around a campfire or riding shotgun in an open-AIR plane!  This is your new everyday beer with an attitude.",,15.0,N,AIR,1.036,5
51,5.9,Available year round as a staple beer.,"As the definitive New England-style IPA, Harpoon IPA is a beautifully balanced beer. The citrus and pine of Cascade hops complement a sturdy malt backbone and the fruity aromas of our beloved yeast. Brewed in the spirit of fun and sociability, it is wonderfully hoppy but remarkably balanced, and is best enjoyed with friends.",Pint,42.0,N,Harpoon IPA,1.06,10
52,5.0,Available year round as a staple beer.,This European styled Pilsner is made right here in Northeast Portland. Light golden European Pilsner malt is married with Oregon grown Noble hops to make a refreshing Lager.,Pilsner,35.0,N,Pilsner,1.044,4
53,5.5,Available year round as a staple beer.,"A British style Extra Special Bitter inspired by classic British style pub ales with an even balance of nine different malts, matched perfectly with a hint of smooth hops. ESB/Amber has a beautiful deep amber body and is a smooth, easy drinking ale.",Pint,25.0,N,ESB Amber,1.046,14
54,6.3,Limited availability.,"A traditional Belgian farmhouse Saison brewed in celebration of long days and spring sunshine.  Pilsner malt, curacao orange peel, Kent Golding Hops and special farmhouse yeast produce this straw colored hoppy beer.",Snifter,43.0,N,Belgian Farmhouse Saison,1.055,12
55,6.5,Available during the winter months.,"Deep, dark and rich with a subtle beechwood smokiness.",Pint,46.0,N,Smoked Porter,1.063,40
56,5.0,Available year round as a staple beer.,"A great American style Session India Pale Ale that is dry-hopped using nothing but Mosaic hops. Our Session IPA features a very clear deep gold to pale amber with a white head and lace. Low to medium hop aroma that is very complex featuring fruity and citrus characters like mango, lemon, earthy pine, tropical fruit, herbal and stone fruit notes. Flavor is low to medium maltiness that is biscuity with some caramel present and citrus with medium hop bitterness. Low to medium carbonation with mouthfeel and body being the same. Finish is bittersweet.",Pint,44.0,N,Heroes Never Die,1.052,8
57,4.25,"Available at the same time of year, every year.","We took a batch of Louie’s Demise and added a bunch of Rishi’s Organic Blueberry Rooibos and Hibiscus Tea blends  to our secondary fermentation vessel. After two weeks of cold infusion we filtered out the tea, carbonated it.

In the fall of 2011 we created a sessionable version of our Louie’s Demise. We added Rishi’s Organic Blueberry Rooibos and Hibiscus Tea blends to our secondary fermentation vessels and after about 2 weeks of cold infusion we filtered out the tea and carbonated it.

During the initial brew, we get a lot of the caramel and earthy malt aromas that we expect from brewing Louie’s, The blueberry and hibiscus smells explode after fermentation, it was surprisinig how intese they were after such a short period of time. Working with nontraditional ingredients was really exciting, however we had no idea what the cold infusion would do to such a light flavored beer. With no benchmark, we just guessed on the quantities.

This is an unusal beer, but it’s perfect for a hot afternoon when you’re looking for something refreshing.",Pint,18.0,N,Weekend @ Louie's,1.03,100
58,4.5,Available year round as a staple beer.,"Classic Belgian-style white beer spiced with coriander, chamomile and sweet orange peel.",Pint,7.0,N,Wildflower Witbier,1.044,2
59,6.5,Available year round as a staple beer.,"Many hops, many times and a smooth, crisp malt profile make this an excellent version of the American “India Pale Ale.” Pale gold a hint of copper and a creamy head, this is generously dry-hopped for a dank aroma of pine and herbs. It finishes with a fresh, zesty hop character without the sticky resin.",,84.0,Y,Hopticity Jones,1.06,9
60,7.8,Limited availability.,Our Belgian Strong Ale that is hopped like an American IPA.  This is our assistant brewer Matt’s first NoDable Series release and the name is appropriate.  Hart en Ziel is Dutch for Heart & Soul.,Pint,88.0,N,Hart en Ziel,1.064,8
61,5.3,Available year round as a staple beer.,"Crisp and clean, Horny Toad is a premium blonde ale with a hint of Noble hop bitterness to balance the two-row and pilsner malt body.  This refreshing libation is a great introduction to craft beer and COOP Ale Works.",,25.0,N,Horny Toad Blonde,1.045,4
62,5.5,Available year round as a staple beer.,"Balanced and Resinous. Midwestern malted barley provides a pedestal for you to experience the flavor and aroma of the citrusy Northwestern hops which are the showcase of Hangar 24’s version of a true classic. An American Pale Ale.

What makes Hangar 24 Pale Ale special is its smoothness. Carefully selected hops added at just the right times during the brewing process, including post fermentation, give a deep hop flavor without the coarse bitterness that some associate with pale ale.",Pint,35.0,N,Amarillo Pale Ale,1.044,13
63,7.1,Limited availability.,"Aroma: Combination of bubble gum and citrus fruits aroma, pleasantly balanced. Aroma is a perfect blend of tropical fruits. 

Taste: Clean malty flavor which expresses the hop flavors of sweet spices and pineapple. Refreshing bitterness that pairs nicely throughout the whole tasting experience. Aftertaste leaves the month experiencing the hop threshold experience.",Snifter,67.0,N,Tilt Shift,1.044,11
64,7.5,"Available at the same time of year, every year.","Brewed with a dehusked German malt that gives it a black and silky look, without the bitter roastiness you find in other dark beers. A variety of Columbus and Cascade hops were used quite generously to help balance out the large malt bill. This beer is abundant with in complex flavors and hop character and yet quite smooth for a beer that sits at 7.5% abv and 48 IBUs. Cheers!

The style “India Black Ale” is so new, that there’s no one, all authoritative beer that we need to compare to. The trick is to get the balance between the malt bitterness and the hop bitterness. In this case we used non-astringent roasted malts to add the roasted flavors. The malt is a de-husked German black malt, it provides the color, and the roast flavor without the risk of extra acidity. It creates this intense roasted coffee and chocolate aroma. When we add the hops you’ll get that pine and citrus smell. When we released the test batch last year it went over really well. I drink the IBA when I have the time to really savor it and when it has the chance to come up to room temperature.",Pint,48.0,N,Black Iron,1.072,35
65,9.0,Limited availability.,A robust porter aged in dark rum barrels.  The sweetness of the rum infused barrel dominates the palate - hints of vanilla and chocolate follow.,Snifter,49.6,N,Drum,1.076,29
66,7.5,Limited availability.,"Malty, full-bodied pale bock brewed in honor of Eric Steinbach (#65).",,30.0,N,The Stein Bock,1.066,26
67,5.4,Available year round as a staple beer.,"We combined a high school murder-movie sense of logic with a whole bunch of hand-selected hops and malts and the result was mind-blowing. This English-style Brown Ale has a touch of nuttiness provided by our good friends Mr. and Mrs. Victory and Munich malt. The addition of Northern Brewer, Cascade and Willamette hops smooth this beer out to create an incredibly drinkable brown ale.",,18.0,N,Buster Nut Brown Ale,1.04,35
68,7.1,Limited availability.,A big red ale with crisp bitterness and a huge hop aroma.,,60.0,N,Red Scare,1.048,12
69,4.7,Available year round as a staple beer.,"In-Heat Wheat is our German-style Hefeweizen. She is a full flavor beer, perfect for the more adventurous craft beer drinker. The addition of malted white wheat gives this brew its smooth, full mouthfeel. A proprietary yeast creates intriguing flavors of bananas and cloves.",Weizen,12.0,N,In-Heat Wheat,1.047,3
70,6.5,Available during the winter months.,"India Red Ale brewed with Citra, Amarillo, El Dorado & Sorachi Ace hops giving it intense tropical, citrus & stone fruit notes with a balancing caramel/toffee malt backbone. Available January through March.",,40.0,N,My Hoppy Valentine,1.048,17
71,5.2,Available year round as a staple beer.,A ruby colored ale that has a pronounced hop character. This smooth beer features a soft malt body that is complimented by a generous amount of American hops both in the kettle and after fermentation.,Pint,40.0,N,Rustic Ale,1.048,11
72,7.0,Available year round as a staple beer.,"Full bodied velvety malt texture; hints of chocolate licorice & espresso.

Early ale style known for its restorative, nutritional, & health-giving benefits.",Pint,65.0,N,XXXXX Stout,1.05,40
73,6.0,Available year round as a staple beer.,"Our Moonstone Porter infused with 100% Kona Coffee. 

2005 Great American Beer Festival Gold Medal Winner!

Formerly known as Kona Moon Porter.",,22.0,N,Paradise Moon Porter,1.03,45
74,9.3,Available year round as a staple beer.,A malt forward full body red amber ale balanced with piney aroma and flavor.  A big beer yet very easy to drink.,Pint,91.0,N,Imperial Red Ale,1.08,18
75,5.7,Available year round as a staple beer.,"This classic smoked lager style hails from Bamberg Germany. The name literally means ""beech smoke,"" which pays homage to the time honored tradition of smoking the malt over beech wood to create the signature smooth smokiness. Mahogany in color and rich in flavors of campfire smoke and crusty bread. Buchenrauch is crisp and savory. The lager yeast and cold aging provide smooth drinkability and will leave you wanting more than just one.",Willi,19.0,N,Buchenrauch,1.05,18
76,6.4,Available year round as a staple beer.,,Pint,70.0,N,Ruthless,1.06,13
77,4.9,Available year round as a staple beer.,"A German-style Pilsner, dry, crisp, with a grassy hop aroma from a large kettle addition of Hallertau Mittelfrüh. One hop, one malt, lager yeast. As simple as beer gets.",Pint,40.0,N,Pils,1.048,3
78,5.4,Beer is not available.,"A Bavarian-style Hefeweizen fermented with a yeast strain that produces flavor profiles hinting of citrus, banana and clove. Brewed with a minimum of 50% malted wheat, this beer is very effervescent and refreshing.",Weizen,12.0,N,Boulder Park Hefeweizen,1.047,3
79,5.6,Available year round as a staple beer.,"This true Northwest Pale Ale is all about timing. An emphasis on late hop additions with notes of tropical hops, Critical Point is extremely smooth. The alluring citrus aroma will draw you in and the well-rounded caramel finish will keep you coming back.",,49.0,N,Critical Point,1.056,8
80,7.6,"Available at the same time of year, every year.","Traditional Saison recipe but loaded with local Colorado Wildflower Honey from Colorado Honey Company.  Sweet aromas of honey give way to a classic Saison white pepper bite.  On the finish, the honey returns but without any coying sweetness.",Pint,24.2,N,Saison du Miel,1.055,5
81,8.0,Available year round as a staple beer.,"Rayon Solaire or Solar Ray is a Double French IPA with a very simple Malt Bill, American and New Zealand hops and French Yeast Strain.  Clocking in at 8% ABV and 70 IBU, Rayon Solaire boasts a beautiful blonde color; big, bold, tropical fruit nose; spicy flavor and a smooth, slightly bitter finish.  You better put on your sunblock and sunglasses if your gonna soak up some Rayon Solaire.",Tulip,70.0,N,Rayon Solaire,1.075,11
82,5.0,Available during the fall months.,"Black River Falls is in the heart of cranberry country, and this fall seasonal is a German ale brewed with real Wisconsin cranberries. Not your typical, sweet fruit beer, our Cranberry Special is well balanced with a refreshing tart finish.",,12.0,N,Cranberry Special Ale,1.03,25
83,5.5,Available year round as a staple beer.,"Like the name says, this beer is a delicious golden color.  This 5% wheat beer uses only the finest Belgian grains and Saaz hops and is flavored with coriander ginger  to create a Belgian Pale Ale that must be experienced by all serious beer connoisseurs.",,27.0,N,Guinevere's Golden Belgian Ale,1.06,12
84,8.5,Limited availability.,"Appearance: Golden yellow haze, with a bright white head of foam. Aroma:Peppery spice and fruity, clove-like notes. Flavor: soft tartness of green apple with slight malt sweetness and a underpinning of citrus derived from the use of Gerwurztraminer grape must. This sinfully good blonde ale is true to its name and devilicous!",Pint,33.0,N,Ale Diablo,1.045,5
85,5.2,Available year round as a staple beer.,"Crafted with the finest ingredients, this historic hometown brew dates back to 1838. With a sparkling dry taste it is a fine light beer with all the qualities of greatness.",,14.0,N,Buckeye Beer,1.044,4
86,5.0,Available year round as a staple beer.,"A moderately dark, unfiltered wheat beer. Shows the fruity and spicy yeast character of our Hefeweizen, blended with a malty richness from the dark malts used that give it caramel and dark bread notes.",Weizen,8.0,N,Dunkelweizen,1.048,10
87,6.8,Available year round as a staple beer.,"Red Rocket Ale is a bastardized Scottish style red ale that traces its origins to our homebrew roots. This full bodied and hoppy brew finishes on the palate with sweet, caramel malt flavors.",Pint,67.0,N,Red Rocket Ale,1.048,18
88,5.2,Available during the summer months.,"This beer is inspired an old fashioned strawberry shortcake. Brewed with local Texas honey and delicious strawberry essence, this refreshing beer is a perfect summertime treat.",,17.0,N,Strawbangin’ Blonde,1.045,3
89,5.1,Available year round as a staple beer.,"Glowing like the Iowa Capitol dome in Iowa’s capital city, Des Moines, this golden lager is brewed with time-honored German brewing methods. Its slightly sweet, bready, malty flavor is balanced perfectly by traditional German noble hops with medium-low hop bitterness.

Like building the magnificent 23-karat gold leaf Iowa Capitol dome itself, this beer can’t be rushed. We create it with the finest domestic and imported German two-row barley malt and noble German hops as well as traditional lager yeast. This delicate beauty undergoes a lagering period of three to four weeks after initial fermentation to bring out the best this beer has to offer. The result is a beer which, much like Iowa, has something for everyone — satisfying to the experienced craft beer drinker, yet welcoming to those new to the world of craft beer.",,22.0,N,Capital Gold,1.045,4
