Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Details / Notes
1.0,12.0,Grease Monkey Wipes,Yes,Lifestyle / Home,Mixed Team,"$40,000",40%,1.0,,,1.0,,,,,
1.0,12.0,Wee Can Shop,No,Children / Education,Mixed Team,,,,,,,,,,,
1.0,12.0,The Podillow,No,Consumer Products,Mixed Team,,,,,,,,,,,
1.0,12.0,The Factionist,No,Fashion / Beauty,Male,,,,,,,,,,,
1.0,13.0,Caffeindicator,Yes,Food and Beverage,Male,"$200,000",50%,,,,,,,1.0,,
1.0,13.0,Lipstick Remix,Yes,Fashion / Beauty,Female,"$105,000",50%,1.0,,,,1.0,,1.0,,
1.0,13.0,Legal Grind,No,Business Services,Mixed Team,,,,,,,,,,,
1.0,13.0,Captain Ice Cream,No,Food and Beverage,Male,,,,,,,,,,,
1.0,14.0,Nubrella,Yes,Fashion / Beauty,Male,"$200,000",51%,,,,,1.0,,1.0,,Deal fell through after show
1.0,14.0,Qubits,Yes,Children / Education,Male,"$90,000",51%,,,,,1.0,,,,Deal fell through after show
1.0,14.0,Send A Ball,No,Children / Education,Female,,,,,,,,,,,
1.0,14.0,Pillars of Slippers,No,Fashion / Beauty,Female,,,,,,,,,,,
1.0,14.0,Llama Brew,No,Green/CleanTech,Mixed Team,,,,,,,,,,,
2.0,1.0,Wurkin Stiffs,Yes,Consumer Products,Male,"$100,000",40%,1.0,,,,1.0,,,,
2.0,1.0,Tippi Toes,Yes,Fitness / Sports,Female,"$100,000",30%,1.0,1.0,,,,,,,
2.0,1.0,CBS Foods,No,Food and Beverage,Male,,,,,,,,,,,
2.0,1.0,Copa di Vino,No,Food and Beverage,Male,,,,,,,,,,,
2.0,2.0,Toygaroo,Yes,Children / Education,Female,"$200,000",35%,,1.0,,,,1.0,,,Company filed for Chapter 7 bankruptcy in April 2012
2.0,2.0,First Defense Nasal Screen,Yes,Healthcare,Male,"$750,000",30%,,1.0,,1.0,1.0,,,,10% perpetual royalty
2.0,2.0,Vurtego,No,Fitness / Sports,Male,,,,,,,,,,,
2.0,2.0,Wake n' Bacon,No,Food and Beverage,Male,,,,,,,,,,,
2.0,3.0,Mod Mom Furniture,Yes,Lifestyle / Home,Female,"$90,000",33%,,,,,,,,,7.5% royalty fee after they hit $500K
2.0,3.0,Flipoutz,Yes,Fashion / Beauty,Mixed Team,"$100,000",25%,,,,,1.0,,,,
2.0,3.0,Fitness Stride,No,Fitness / Sports,Male,,,,,,,,,,,
2.0,3.0,Pure Ayre,No,Lifestyle / Home,Male,,,,,,,,,,,
2.0,4.0,Broccoli Wad,Yes,Food and Beverage,Male,"$50,000",40%,1.0,,,,,,,,
2.0,4.0,Hillbilly Brand,Yes,Fashion / Beauty,Male,"$75,000",25%,,,,1.0,1.0,,,,7% royalty
2.0,4.0,Ride-On Carry-On,Yes,Consumer Products,Mixed Team,"$50,000",25%,1.0,,,,,,,,
2.0,4.0,Uncle Zip's Beef Jerky,No,Food and Beverage,Male,,,,,,,,,,,
2.0,5.0,Lightfilm,Yes,Consumer Products,Male,"$10,000",70%,,,,1.0,1.0,,,,founders receive 75% of the profit's until the $750k was paid back
2.0,5.0,Fridge Fronts,Yes,Lifestyle / Home,Female,"$100,000",50%,1.0,,,,,1.0,,,magnetic decorative finish for refrigerators; deal did not go through
2.0,5.0,New Era Brands,No,Consumer Products,Male,,,,,,,,,,,clip-on gum and clip-on contact lens cases
2.0,5.0,Thin Gloss,No,Fashion / Beauty,Female,,,,,,,,,,,weight loss lip gloss
2.0,6.0,Sweep Easy,Yes,Lifestyle / Home,Male,"$75,000",33%,,,,,1.0,,,,
2.0,6.0,Daisy Cakes,Yes,Food and Beverage,Female,"$50,000",25%,1.0,,,,,,,,Barbara gets $1 per every cake sold until investment is paid back
2.0,6.0,Hot Mama Gowns,No,Fashion / Beauty,Female,,,,,,,,,,,luxury maternity gowns
2.0,6.0,Caddy Swag,No,Fitness / Sports,Mixed Team,,,,,,,,,,,
2.0,7.0,Hydromax,Yes,Fitness / Sports,Male,"$50,000",50%,,,,,,,,1.0,
2.0,7.0,Carsik Bib,No,Children / Education,Male,,,,,,,,,,,
2.0,7.0,Ecomowers,No,Green/CleanTech,Male,,,,,,,,,,,
2.0,7.0,Games2U,No,Media / Entertainment,Male,,,,,,,,,,,
2.0,8.0,HyConn,Yes,Uncertain / Other,Male,"$1,250,000",100%,,1.0,,,,,,,deal did not go through after show
2.0,8.0,Origaudio,Yes,Software / Tech,Male,"$150,000",15%,,,,1.0,,,,,deal did not go through after diligence
2.0,8.0,Man Candle,No,Lifestyle / Home,Male,,,,,,,,,,,
2.0,8.0,Original Runner Company,No,Lifestyle / Home,Female,,,,,,,,,,,
2.0,9.0,Aldo Orta Jewelry,Yes,Fashion / Beauty,Male,"$180,000",45%,1.0,,,,,,1.0,,
2.0,9.0,One Sole,Yes,Fashion / Beauty,Female,"$500,000",35%,,,,,1.0,,,,
2.0,9.0,CitiKitty,Yes,Pet Products,Female,"$100,000",30%,,,,,,,1.0,,
2.0,9.0,Samson Martin,No,Fashion / Beauty,Female,,,,,,,,,,,
3.0,1.0,EZ VIP,Yes,Media / Entertainment,Male,"$150,000",30%,,1.0,,,1.0,,,,
3.0,1.0,The Clean Bottle,Yes,Food and Beverage,Male,"$60,000",8%,,1.0,,,,,,,
3.0,1.0,My Wonderful Life,No,Business Services,Female,,,,,,,,,,,
3.0,1.0,Business Ghost,No,Business Services,Male,,,,,,,,,,,
3.0,2.0,I Want To Draw A Cat For You,Yes,Software / Tech,Male,"$25,000",33%,,1.0,,,,,,,
3.0,2.0,Salespreneur,No,Business Services,Male,,,,,,,,,,,
3.0,2.0,Invis-A-Rack,No,Consumer Products,Male,,,,,,,,,,,
3.0,2.0,Vegas Magic Show,No,Media / Entertainment,Male,,,,,,,,,,,
3.0,3.0,You Smell Soap,Yes,Fashion / Beauty,Female,"$50,000",50%,,,,1.0,,,,,deal terms changed after dilligence (http://sharktanksuccess.blogspot.com/2013/07/you-smell-soap-update.html)
3.0,3.0,Chord Buddy,Yes,Media / Entertainment,Male,"$175,000",20%,,,,1.0,,,,,
3.0,3.0,Liquid Money,No,Consumer Products,Male,,,,,,,,,,,
3.0,3.0,Tail Lightz,No,Fashion / Beauty,Male,,,,,,,,,,,
3.0,4.0,Wine Balloon,Yes,Food and Beverage,Male,"$400,000",100%,,1.0,,,,,,,deal fell apart after show
3.0,4.0,Show No,Yes,Fashion / Beauty,Female,"$75,000",25%,,,1.0,,,,,,
3.0,4.0,The Swilt,No,Fashion / Beauty,Female,,,,,,,,,,,
3.0,4.0,Puppy Cake,No,Pet Products,Female,,,,,,,,,,,
3.0,5.0,The Last Lid,Yes,Lifestyle / Home,Mixed Team,"$40,000",60%,,,,,1.0,,,,
3.0,5.0,Talbott Teas,Yes,Food and Beverage,Male,"$250,000",35%,,,,,,1.0,,,Acquired by Jamba Juice
3.0,5.0,M3 Girl Designs,Yes,Fashion / Beauty,Female,"$300,000",30%,,1.0,1.0,1.0,,,,,
3.0,5.0,Ledge Pillow,No,Lifestyle / Home,Female,,,,,,,,,,,
3.0,6.0,Readerest Specsecure,Yes,Consumer Products,Male,"$150,000",65%,,,1.0,,,,,,
3.0,6.0,The Painted Pretzel,Yes,Food and Beverage,Female,"$100,000",25%,,1.0,,,,,,,
3.0,6.0,Esso Watches,No,Fashion / Beauty,Male,,,,,,,,,,,
3.0,6.0,Five Minute Furniture,No,Lifestyle / Home,Male,,,,,,,,,,,
3.0,7.0,Kisstixx,Yes,Fashion / Beauty,Male,"$200,000",40%,,1.0,,,,,,,
3.0,7.0,The Smart Baker,Yes,Food and Beverage,Mixed Team,"$75,000",40%,1.0,,,,,,,,5% royalty until investment paid back
3.0,7.0,ScotteVest,No,Fashion / Beauty,Male,,,,,,,,,,,
3.0,7.0,The Heat Helper,No,Lifestyle / Home,Male,,,,,,,,,,,
3.0,8.0,Litter,Yes,Fashion / Beauty,Female,"$80,000",51%,,1.0,,,1.0,,,,
3.0,8.0,Nardo's Natural,Yes,Fashion / Beauty,Male,"$75,000",50%,,,,,,,,,
3.0,8.0,The Original Profender,No,Fitness / Sports,Male,,,,,,,,,,,
3.0,8.0,Rent-A-Grandma,No,Lifestyle / Home,Male,,,,,,,,,,,
3.0,9.0,Tower Paddle Boards,Yes,Fitness / Sports,Male,"$150,000",30%,,1.0,,,,,,,"plus ""first right of refusal"" on any future inventions"
3.0,9.0,Miso Media,Yes,Media / Entertainment,Male,"$300,000",8%,,1.0,,,,,,,
3.0,9.0,Instant Lifts,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
3.0,9.0,Vinamor,No,Food and Beverage,Male,,,,,,,,,,,
3.0,10.0,GoGo Gear,Yes,Fitness / Sports,Female,"$300,000",50%,,,,,1.0,,,,
3.0,10.0,The Ave Venice,No,Fashion / Beauty,Male,,,,,,,,,,,
3.0,10.0,BrewerΓÇÖs Cow,No,Food and Beverage,Male,,,,,,,,,,,
3.0,10.0,BarkΓÇÖemΓÇÖs To Go,No,Pet Products,Male,,,,,,,,,,,
3.0,11.0,ViewSport,No,Fitness / Sports,Male,,,,,,,,,,,
3.0,11.0,Blondies Cookies,No,Food and Beverage,Female,,,,,,,,,,,
3.0,11.0,Copa di Vino,No,Food and Beverage,Male,,,,,,,,,,,
3.0,11.0,The Sullivan Generator,No,Green/CleanTech,Male,,,,,,,,,,,
3.0,12.0,Lollacup,Yes,Children / Education,Mixed Team,"$100,000",40%,,1.0,,1.0,,,,,
3.0,12.0,Nail Pak,Yes,Fashion / Beauty,Female,"$50,000",40%,,,1.0,,,,,,
3.0,12.0,Debbie Brooks Handbags,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
3.0,12.0,Trimi Tank,No,Fashion / Beauty,Female,,,,,,,,,,,
3.0,13.0,Villy Customs,Yes,Fitness / Sports,Male,"$500,000",42%,1.0,1.0,,,,,,,
3.0,13.0,Boot Illusions,Yes,Fashion / Beauty,Mixed Team,"$500,000",40%,1.0,1.0,,,,,,,
3.0,13.0,AirBedz,No,Consumer Products,Male,,,,,,,,,,,
3.0,13.0,Skyride,No,Uncertain / Other,Male,,,,,,,,,,,
3.0,14.0,Dance With Me,Yes,Fitness / Sports,Male,"$100,000",50%,,1.0,,,1.0,,,,
3.0,14.0,Wild Squirrel Nut Butter,Yes,Food and Beverage,Female,"$50,000",40%,1.0,,,,,,,,
3.0,14.0,Mix Bikini,Yes,Fashion / Beauty,Male,"$50,000",25%,1.0,,,,,,,,
3.0,14.0,Cab20 Rock Band,No,Media / Entertainment,Male,,,,,,,,,,,
3.0,15.0,Remyxx ReKixx Sneakers,Yes,Fashion / Beauty,Male,"$50,000",80%,,,,,1.0,,,,
3.0,15.0,UniKey Technologies,Yes,Software / Tech,Male,"$500,000",40%,,1.0,,,,1.0,,,Deal did not close after snow (http://pando.com/2013/05/08/life-after-shark-tank-the-real-story-of-how-unikey-finally-came-to-market/)
3.0,15.0,The NitroForce Titan 1000,No,Fitness / Sports,Mixed Team,,,,,,,,,,,
3.0,15.0,Cougar Limited,No,Food and Beverage,Male,,,,,,,,,,,
4.0,1.0,Bev Buckle,Yes,Food and Beverage,Male,"$50,000",51%,1.0,,,,,,,,
4.0,1.0,Buggy Beds,Yes,Lifestyle / Home,Female,"$250,000",25%,1.0,1.0,,1.0,1.0,1.0,,,
4.0,1.0,Coat Chex,No,Business Services,Male,,,,,,,,,,,
4.0,1.0,Body Walking,No,Fashion / Beauty,Male,,,,,,,,,,,
4.0,2.0,SurfSet Fitness,Yes,Fitness / Sports,Mixed Team,"$300,000",30%,,1.0,,,,,,,
4.0,2.0,CateApp,Yes,Software / Tech,Male,"$75,000",30%,,,,,1.0,1.0,,,
4.0,2.0,Alpha M,No,Business Services,Male,,,,,,,,,,,
4.0,2.0,eCreamery,No,Food and Beverage,Female,,,,,,,,,,,
4.0,3.0,Rock Bands,Yes,Fashion / Beauty,Male,"$100,000",40%,,1.0,,,1.0,,,,
4.0,3.0,Posture Now,Yes,Healthcare,Male,"$100,000",30%,,1.0,,,,,,,
4.0,3.0,FuzziBunz,No,Children / Education,Female,,,,,,,,,,,
4.0,3.0,Liz Lovely Cookies,No,Food and Beverage,Mixed Team,,,,,,,,,,,
4.0,4.0,Bag Bowl,Yes,Lifestyle / Home,Male,"$40,000",33%,,,1.0,,,,,,
4.0,4.0,Back 9 Dips,Yes,Food and Beverage,Mixed Team,"$150,000",25%,,,1.0,1.0,,,,,
4.0,4.0,Lift Hamper,No,Lifestyle / Home,Male,,,,,,,,,,,
4.0,4.0,Zomm,No,Lifestyle / Home,Male,,,,,,,,,,,
4.0,5.0,Cozy Bugs,Yes,Fashion / Beauty,Female,"$50,000",30%,,,,,1.0,,,,
4.0,5.0,Marz Sprays,Yes,Healthcare,Male,"$200,000",25%,,,1.0,,,,,,plus option to buy back option of half the stock for 4X investment
4.0,5.0,Wired Waffles,No,Food and Beverage,Male,,,,,,,,,,,
4.0,5.0,The Spatty and The Spaddy Dadd,No,Food and Beverage,Female,,,,,,,,,,,
4.0,6.0,PRO-NRG,Yes,Food and Beverage,Mixed Team,"$250,000",30%,,,,,1.0,,,,contingent on a deal with Bad Ass Energy
4.0,6.0,Cousins Maine Lobster,Yes,Food and Beverage,Male,"$55,000",15%,1.0,,,,,,,,
4.0,6.0,Freaker USA,No,Food and Beverage,Male,,,,,,,,,,,
4.0,6.0,EcoNutsSoap,No,Lifestyle / Home,Mixed Team,,,,,,,,,,,
4.0,7.0,SBU,Yes,Fitness / Sports,Male,"$300,000",33%,,,,1.0,,1.0,,,
4.0,7.0,Scrub Daddy,Yes,Lifestyle / Home,Male,"$200,000",20%,,,1.0,,,,,,
4.0,7.0,The Shemie,No,Fashion / Beauty,Male,,,,,,,,,,,
4.0,7.0,The Bear & The Rat,No,Pet Products,Mixed Team,,,,,,,,,,,
4.0,8.0,The Cool Wazoo,Yes,Children / Education,Female,"$65,000",35%,,,1.0,,,,,,
4.0,8.0,Plate Topper,Yes,Food and Beverage,Male,"$90,000",8%,,,1.0,,,,,,
4.0,8.0,No Fly Cone,No,Pet Products,Male,,,,,,,,,,,
4.0,9.0,Drive Suits,Yes,Uncertain / Other,Male,"$150,000",30%,,,,,,1.0,,,
4.0,9.0,Ice Chips Candy,Yes,Food and Beverage,Female,"$125,000",20%,1.0,1.0,,,,,,,
4.0,9.0,ReVestor,No,Software / Tech,Male,,,,,,,,,,,
4.0,9.0,PC Classes Online,No,Software / Tech,Male,,,,,,,,,,,
4.0,10.0,Ruck Pack Combat Nutrition,Yes,Fashion / Beauty,Male,"$150,000",20%,,,,1.0,,1.0,,,
4.0,10.0,Nearly Newlywed,No,Fashion / Beauty,Female,,,,,,,,,,,
4.0,10.0,Tie Try,No,Fashion / Beauty,Male,,,,,,,,,,,
4.0,10.0,Corks Away,No,Food and Beverage,Male,,,,,,,,,,,
4.0,11.0,The Living Christmas Company,Yes,Lifestyle / Home,Male,"$150,000",40%,,1.0,,,,,,,
4.0,11.0,The Coop,Yes,Children / Education,Female,"$150,000",15%,1.0,,,,,,,,plus personal guarantee she will get her investment back within 2 years
4.0,11.0,Partie Poche,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,
4.0,11.0,Fat Ass Fudge,No,Food and Beverage,Female,,,,,,,,,,,
4.0,12.0,Hot Tot,Yes,Children / Education,Female,"$75,000",40%,,1.0,,,,,,,
4.0,12.0,The GameFace Company,Yes,Fashion / Beauty,Male,"$450,000",35%,,1.0,1.0,,,,,,
4.0,12.0,Dura Tent,No,Food and Beverage,Male,,,,,,,,,,,
4.0,12.0,ARKEG,No,Uncertain / Other,Male,,,,,,,,,,,
4.0,13.0,Coffee Joulies,Yes,Food and Beverage,Male,"$150,000",n/a,,,1.0,1.0,1.0,1.0,,,"plus royalty fee of $6 per Coffee Joulies sold retail, and $3 per wholesale. The royalty drops to $1 per unit sold after Sharks recoup their investment."
4.0,13.0,Teddy Needs,Yes,Children / Education,Female,"$100,000",30%,,1.0,,,,,,,plus 10% royalty until he gets his investment paid back in full
4.0,13.0,Urbio,Yes,Lifestyle / Home,Male,"$300,000",15%,,,1.0,,,,,,
4.0,13.0,Sub Zero Ice Cream,No,Food and Beverage,Mixed Team,,,,,,,,,,,
4.0,14.0,Sound Bender,Yes,Software / Tech,Male,"$54,000",40%,,,,,1.0,,,,
4.0,14.0,Bibitec Bibs,No,Children / Education,Mixed Team,,,,,,,,,,,
4.0,14.0,Cuddle Story Telling Bear,No,Children / Education,Male,,,,,,,,,,,
4.0,14.0,Invisible Xero Shoes,No,Fitness / Sports,Mixed Team,,,,,,,,,,,
4.0,15.0,Hoodie Pillow,Yes,Lifestyle / Home,Mixed Team,"$90,000",20%,,,,1.0,,,,,
4.0,15.0,Get Grinds,Yes,Food and Beverage,Male,"$75,000",15%,,,,1.0,1.0,,,,
4.0,15.0,Green Garmento,No,Fashion / Beauty,Female,,,,,,,,,,,
4.0,15.0,My Cold Snap,No,Food and Beverage,Male,,,,,,,,,,,
4.0,16.0,The Smart Wheel,Yes,Consumer Products,Mixed Team,"$100,000",30%,,1.0,,1.0,,,,,
4.0,16.0,HDYR Sushi Bars,Yes,Food and Beverage,Male,"$1,000,000",20%,,,,,,1.0,,,
4.0,16.0,Gotta Have S'More,No,Food and Beverage,Female,,,,,,,,,,,
4.0,16.0,Pretty Padded Room,No,Healthcare,Female,,,,,,,,,,,
4.0,17.0,Addison's Wonderland,No,Children / Education,Female,,,,,,,,,,,
4.0,17.0,Hip Chicks,No,Fashion / Beauty,Female,,,,,,,,,,,
4.0,17.0,Proof Eye Wear,No,Fashion / Beauty,Male,,,,,,,,,,,
4.0,17.0,Muddy Water Camo,No,Fitness / Sports,Male,,,,,,,,,,,
4.0,18.0,Jeska Shoe Company,Yes,Fashion / Beauty,Female,"$70,000",70%,,,,,1.0,,,,
4.0,18.0,Nuts n More,Yes,Food and Beverage,Male,"$250,000",30%,,1.0,,1.0,,,,,
4.0,18.0,Neo Innovations,No,Healthcare,Male,,,,,,,,,,,
4.0,18.0,PSI Bands,No,Healthcare,Female,,,,,,,,,,,
4.0,19.0,CordaRoy's Bean Bag Beds,Yes,Lifestyle / Home,Male,"$200,000",58%,,,1.0,,,,,,
4.0,19.0,Lose 12,Yes,Fitness / Sports,Male,"$125,000",25%,,,,,1.0,,,,
4.0,19.0,Baby Loves Disco,No,Children / Education,Mixed Team,,,,,,,,,,,
4.0,19.0,Cell Helmet,No,Software / Tech,Male,,,,,,,,,,,
4.0,20.0,CoolWraps,Yes,Lifestyle / Home,Male,"$250,000",100%,,1.0,,,,,,,plus inventor gets 3% royalty from all future profits
4.0,20.0,Simple Sugar Scrubs,Yes,Fashion / Beauty,Female,"$100,000",33%,,1.0,,,,,,,
4.0,20.0,Drop Stop,Yes,Consumer Products,Male,"$300,000",20%,,,1.0,,,,,,
4.0,20.0,Traditional Fisheries,No,Food and Beverage,Male,,,,,,,,,,,
4.0,21.0,GOBIE H20,Yes,Consumer Products,Male,"$300,000",40%,,,,,1.0,,,,
4.0,21.0,LiddUp Coolers,Yes,Food and Beverage,Male,"$100,000",33%,,,,,,1.0,,,
4.0,21.0,Rootsuit,No,Fashion / Beauty,Male,,,,,,,,,,,
4.0,21.0,Echo Valley Meats,No,Food and Beverage,Male,,,,,,,,,,,
4.0,22.0,Wicked Good Cup Cakes,Yes,Food and Beverage,Female,"$75,000",n/a,,,,,,1.0,,,"Zero equity, but $1 royalty until investor gets money back,t hen .45 cent royalty in perpetuity."
4.0,22.0,The Mission Belt,Yes,Fashion / Beauty,Male,"$50,000",37.50%,,,,,1.0,,,,
4.0,22.0,Shell Bobbers,Yes,Fitness / Sports,Male,"$80,000",33%,,1.0,,,,,,,
4.0,22.0,Tremont Electric,No,Green/CleanTech,Male,,,,,,,,,,,
4.0,23.0,Me-Ma's Gumbo Bricks,Yes,Food and Beverage,Female,"$200,000",50%,,,1.0,,,1.0,,,
4.0,23.0,Misto Box Coffee Club,Yes,Food and Beverage,Mixed Team,"$75,000",30%,,1.0,,,,,,,
4.0,23.0,Vermont Butcher Block,No,Lifestyle / Home,Male,,,,,,,,,,,
4.0,23.0,Squirrel Boss Bird Feeder,No,Pet Products,Male,,,,,,,,,,,
4.0,24.0,Pink Shutter Photo Booths,Yes,Consumer Products,Male,"$300,000",33%,1.0,,,,,,,,plus equal salary distribution of all the profits
4.0,24.0,KazAM Balancing Bike's,Yes,Fitness / Sports,Female,"$300,000",32%,1.0,1.0,,,,,,,
4.0,24.0,Baby's Badass Burgers,No,Food and Beverage,Female,,,,,,,,,,,
4.0,24.0,Track Days,No,Uncertain / Other,Male,,,,,,,,,,,
4.0,25.0,Stella Valle Jewelry,Yes,Fashion / Beauty,Female,"$150,000",35%,,1.0,1.0,,,,,,
4.0,25.0,Geek Chic,Yes,Fashion / Beauty,Male,"$300,000",25%,,,,1.0,,,,,
4.0,25.0,LugLess,No,Consumer Products,Male,,,,,,,,,,,
4.0,25.0,Jones Scones,No,Food and Beverage,Male,,,,,,,,,,,
4.0,26.0,Ryan's Barkery,Yes,Pet Products,Male,"$25,000",25%,1.0,,,,,,,,
4.0,26.0,Verbalize It App,Yes,Business Services,Male,"$250,000",20%,,,,,,1.0,,,
4.0,26.0,Tom n Chee,Yes,Food and Beverage,Male,"$600,000",15%,1.0,1.0,,,,,,,
4.0,26.0,Three Day Rule,No,Software / Tech,Female,,,,,,,,,,,
5.0,1.0,Sweet Ballz,Yes,Food and Beverage,Male,"$250,000",25%,1.0,1.0,,,,,,,
5.0,1.0,Postcard on the Run,Yes,Software / Tech,Male,"$300,000",8%,,,,1.0,,,,,
5.0,1.0,Lynnaes Gourmet Pickles,No,Food and Beverage,Female,,,,,,,,,,,
5.0,1.0,RoloDoc,No,Healthcare,Male,,,,,,,,,,,
5.0,2.0,Kane & Couture Dog Clothes,Yes,Pet Products,Female,"$150,000",40%,,,1.0,,1.0,,,,
5.0,2.0,Breathometer,Yes,Healthcare,Male,"$1,000,000",30%,,1.0,1.0,1.0,1.0,1.0,,,
5.0,2.0,Mango Mango Preserve,No,Food and Beverage,Female,,,,,,,,,,,
5.0,2.0,Man Medals,No,Uncertain / Other,Male,,,,,,,,,,,
5.0,3.0,Freeloader Child Carrier,Yes,Children / Education,Male,"$200,000",33%,,,,1.0,,,,,
5.0,3.0,Rapid Ramen Cooker,Yes,Food and Beverage,Male,"$300,000",15%,,1.0,,,,,,,"$150K is investment, $150K is loan"
5.0,3.0,Fairy Tale Wishes,No,Children / Education,Female,,,,,,,,,,,
