time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-05T15:16:35.160Z,19.4301662,-154.8906708,0.63,2.29,ml,30,195,0.03652,0.3,hv,hv70235582,2018-06-05T15:22:17.090Z,"4km SE of Leilani Estates, Hawaii",earthquake,0.59,0.39,0.35,5,automatic,hv,hv
2018-06-05T15:08:13.608Z,62.2806,-151.8625,92.4,1.4,ml,,,,0.19,ak,ak19711485,2018-06-05T15:11:06.864Z,"91km W of Talkeetna, Alaska",earthquake,,1.7,,,automatic,ak,ak
2018-06-05T15:01:34.625Z,61.6481,-146.3522,19.9,1.9,ml,,,,0.8,ak,ak19711478,2018-06-05T15:05:55.018Z,"57km N of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-05T14:58:41.860Z,34.0676667,-117.5105,4.54,1.48,ml,55,61,0.01924,0.16,ci,ci37957327,2018-06-05T17:40:57.770Z,"6km SW of Fontana, CA",earthquake,0.15,0.28,0.192,23,reviewed,ci,ci
2018-06-05T14:54:11.120Z,18.3121,-67.2696,106,2.99,md,10,251,0.2219,0.27,pr,pr2018156009,2018-06-05T17:57:47.112Z,"2km WSW of Stella, Puerto Rico",earthquake,2.13,1.17,0.13,8,reviewed,pr,pr
2018-06-05T14:53:45.410Z,19.3601665,-155.1625061,1.55,1.89,ml,29,89,0.02022,0.21,hv,hv70235517,2018-06-05T14:59:24.160Z,"11km SE of Volcano, Hawaii",earthquake,0.43,0.54,0.21,5,automatic,hv,hv
2018-06-05T14:50:56.880Z,34.3168335,-118.2180023,8.56,1.76,ml,13,70,0.08418,0.13,ci,ci37957319,2018-06-05T14:53:02.098Z,"10km N of La Crescenta-Montrose, CA",earthquake,0.52,1.3,0.582,7,automatic,ci,ci
2018-06-05T14:47:25.760Z,18.1413,-68.5666,95,3.31,md,4,347,1.4632,0.45,pr,pr2018156008,2018-06-05T17:56:16.880Z,"26km S of Boca de Yuma, Dominican Republic",earthquake,11.73,11.85,0.04,3,reviewed,pr,pr
2018-06-05T14:33:13.918Z,37.0703,-116.7278,8.9,-0.1,ml,8,113.9,0.074,0.0886,nn,nn00638266,2018-06-05T16:54:22.329Z,"18km N of Beatty, Nevada",earthquake,,2.7,0.18,5,reviewed,nn,nn
2018-06-05T14:32:27.560Z,19.404,-155.2936,1.45,5.5,mww,,34,0.017,0.31,us,us1000ej12,2018-06-05T17:41:27.223Z,"6km WSW of Volcano, Hawaii",volcanic eruption,5.8,10.1,0.093,11,reviewed,us,us
2018-06-05T14:31:57.380Z,19.4396667,-155.3209991,-0.72,2.13,md,13,61,0.03375,0.32,hv,hv70235437,2018-06-05T14:35:00.950Z,"8km W of Volcano, Hawaii",earthquake,0.63,0.52,0.27,4,automatic,hv,hv
2018-06-05T14:31:02.426Z,66.2049,-157.4721,0.2,1.5,ml,,,,0.56,ak,ak19711131,2018-06-05T14:34:56.623Z,"82km SSW of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-05T14:30:26.130Z,19.3990002,-155.2814941,0.88,3.01,ml,18,93,0.008245,0.22,hv,hv70235432,2018-06-05T14:36:07.200Z,"5km SW of Volcano, Hawaii",earthquake,0.34,0.36,0.25,11,automatic,hv,hv
2018-06-05T14:28:48.640Z,19.3939991,-155.284668,0.19,3.11,ml,21,67,0.007934,0.16,hv,hv70235427,2018-06-05T14:34:33.740Z,"6km SW of Volcano, Hawaii",earthquake,0.34,0.26,3.62,28,automatic,hv,hv
2018-06-05T14:28:46.580Z,19.3961658,-155.2911682,-0.46,3.14,ml,45,38,0.01309,0.26,hv,hv70235422,2018-06-05T14:34:24.550Z,"6km SW of Volcano, Hawaii",earthquake,0.2,0.22,3.31,36,automatic,hv,hv
2018-06-05T14:28:25.710Z,19.4020004,-155.2926636,0.56,3.2,ml,18,65,0.01755,0.19,hv,hv70235417,2018-06-05T14:34:04.350Z,"6km WSW of Volcano, Hawaii",earthquake,0.26,0.32,2.91,29,automatic,hv,hv
2018-06-05T14:26:13.900Z,19.4111671,-155.2779999,0.95,2.68,ml,34,36,0.008652,0.24,hv,hv70235412,2018-06-05T14:31:54.550Z,"4km WSW of Volcano, Hawaii",earthquake,0.29,0.13,2.76,23,automatic,hv,hv
2018-06-05T14:22:00.490Z,19.4018326,-155.2773285,0.81,2.62,ml,31,54,0.007311,0.34,hv,hv70235402,2018-06-05T14:27:41.870Z,"5km SW of Volcano, Hawaii",earthquake,0.36,0.23,0.42,19,automatic,hv,hv
2018-06-05T14:20:50.300Z,18.577,-66.3125,69,2.51,md,5,325,0.498,0.21,pr,pr2018156007,2018-06-05T17:47:29.609Z,"12km NNE of Brenas, Puerto Rico",earthquake,2.81,1.95,0.14,5,reviewed,pr,pr
2018-06-05T14:20:45.310Z,19.392334,-155.2843323,0.77,2.37,ml,15,115,0.006278,0.19,hv,hv70235397,2018-06-05T14:26:23.280Z,"6km SW of Volcano, Hawaii",earthquake,0.33,0.38,0.3,7,automatic,hv,hv
2018-06-05T14:18:00.560Z,19.3985004,-155.2783356,0.73,2.46,ml,32,47,0.005416,0.26,hv,hv70235392,2018-06-05T14:23:47.790Z,"5km SW of Volcano, Hawaii",earthquake,0.24,0.28,0.4,19,automatic,hv,hv
2018-06-05T14:17:55.700Z,19.4039993,-155.2901611,0.93,2.76,ml,11,125,0.01475,0.18,hv,hv70235387,2018-06-05T14:23:35.710Z,"6km WSW of Volcano, Hawaii",earthquake,0.38,0.32,0.42,19,automatic,hv,hv
2018-06-05T14:16:50.050Z,19.4328327,-155.1925049,2.96,2.61,ml,8,304,0.06685,0.17,hv,hv70235377,2018-06-05T14:22:30.240Z,"4km E of Volcano, Hawaii",earthquake,1.8,4.67,0.28,4,automatic,hv,hv
2018-06-05T14:16:41.130Z,-0.2423,124.5294,60.88,4.5,mb,,53,1.928,0.91,us,us1000ej0v,2018-06-05T15:46:14.040Z,"92km SE of Molibagu, Indonesia",earthquake,8,8.3,0.075,52,reviewed,us,us
2018-06-05T14:15:39.190Z,19.390667,-155.2791595,1.26,2.68,ml,10,86,0.006999,0.26,hv,hv70235372,2018-06-05T14:21:19.530Z,"6km SW of Volcano, Hawaii",earthquake,0.56,0.63,0.27,10,automatic,hv,hv
2018-06-05T14:14:34.170Z,19.3998337,-155.2666626,1.42,2.62,ml,20,65,0.001692,0.24,hv,hv70235367,2018-06-05T14:20:16.590Z,"4km SW of Volcano, Hawaii",earthquake,0.35,0.35,0.57,13,automatic,hv,hv
2018-06-05T14:13:51.740Z,19.4090004,-155.2708282,0.86,2.25,ml,20,51,0.01078,0.24,hv,hv70235362,2018-06-05T14:19:31.340Z,"4km SW of Volcano, Hawaii",earthquake,0.44,0.29,0.28,12,automatic,hv,hv
2018-06-05T14:11:04.090Z,19.4021664,-155.2684937,1.44,2.01,ml,14,93,0.008328,0.09,hv,hv70235357,2018-06-05T14:16:43.230Z,"4km SW of Volcano, Hawaii",earthquake,0.28,0.24,0.12,7,automatic,hv,hv
2018-06-05T14:10:42.410Z,19.4004993,-155.2728271,0.67,2.12,ml,19,60,0.005162,0.12,hv,hv70235352,2018-06-05T14:16:23.570Z,"4km SW of Volcano, Hawaii",earthquake,0.18,0.24,0.17,10,automatic,hv,hv
2018-06-05T14:05:03.460Z,19.4093342,-155.2726593,1.16,2.16,ml,19,84,0.01237,0.21,hv,hv70235342,2018-06-05T14:10:43.940Z,"4km WSW of Volcano, Hawaii",earthquake,0.3,0.29,0.31,10,automatic,hv,hv
2018-06-05T14:01:06.740Z,19.3880005,-155.2821655,0.69,1.91,ml,15,50,0.001521,0.19,hv,hv70235337,2018-06-05T14:06:47.240Z,"6km SW of Volcano, Hawaii",earthquake,0.32,0.32,0.14,7,automatic,hv,hv
2018-06-05T13:58:43.290Z,19.4213333,-155.2656708,2.49,2.24,md,10,86,0.004776,0.09,hv,hv70235327,2018-06-05T14:01:34.090Z,"3km WSW of Volcano, Hawaii",earthquake,1.19,1.1,0.16,6,automatic,hv,hv
2018-06-05T13:56:59.720Z,34.0736667,-117.5071667,4.3,0.83,ml,27,100,0.05608,0.11,ci,ci37957271,2018-06-05T17:30:50.922Z,"5km WSW of Fontana, CA",earthquake,0.19,0.31,0.123,12,reviewed,ci,ci
2018-06-05T13:53:58.840Z,19.3313332,-155.1060028,1.27,2.27,ml,34,155,0.05021,0.32,hv,hv70235312,2018-06-05T13:59:37.160Z,"17km SE of Volcano, Hawaii",earthquake,0.47,0.67,2.83,10,automatic,hv,hv
2018-06-05T13:48:51.650Z,19.4051666,-155.2858276,0.47,2.19,ml,15,63,0.01254,0.17,hv,hv70235292,2018-06-05T13:54:29.560Z,"5km WSW of Volcano, Hawaii",earthquake,0.27,0.41,0.31,7,automatic,hv,hv
2018-06-05T13:47:44.340Z,19.4126663,-155.2779999,0.56,1.87,ml,14,138,0.007603,0.16,hv,hv70235287,2018-06-05T13:53:24.850Z,"4km WSW of Volcano, Hawaii",earthquake,0.33,0.34,0.2,9,automatic,hv,hv
2018-06-05T13:44:21.990Z,60.5261,-149.5524,32.1,1.9,ml,,,,0.48,ak,ak19711126,2018-06-05T13:50:05.779Z,"41km NNW of Bear Creek, Alaska",earthquake,,0.1,,,automatic,ak,ak
2018-06-05T13:42:45.280Z,19.3476658,-155.0348358,3.64,2.67,ml,10,204,0.06642,0.1,hv,hv70235282,2018-06-05T13:48:25.720Z,"18km SW of Leilani Estates, Hawaii",earthquake,0.98,0.89,0.23,7,automatic,hv,hv
2018-06-05T13:34:16.840Z,19.4278336,-155.2968292,-0.52,2.77,ml,17,68,0.008672,0.27,hv,hv70235272,2018-06-05T13:39:55.790Z,"6km W of Volcano, Hawaii",earthquake,0.28,0.34,0.37,11,automatic,hv,hv
2018-06-05T13:33:06.440Z,19.4073334,-155.2908325,-1.14,2.38,ml,16,77,0.01208,0.26,hv,hv70235267,2018-06-05T13:38:46.590Z,"6km WSW of Volcano, Hawaii",earthquake,0.25,0.46,0.42,14,automatic,hv,hv
2018-06-05T13:31:19.850Z,19.4008331,-155.2806702,-0.14,2.49,ml,29,55,0.008576,0.2,hv,hv70235262,2018-06-05T13:37:00.640Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.19,0.42,19,automatic,hv,hv
2018-06-05T13:28:23.580Z,19.4146671,-155.2736664,-0.42,3.1,ml,28,38,0.01029,0.34,hv,hv70235257,2018-06-05T15:01:50.232Z,"4km WSW of Volcano, Hawaii",earthquake,0.27,0.29,0.31,14,automatic,hv,hv
2018-06-05T13:27:50.140Z,19.4038334,-155.2821655,0.59,2.89,md,12,118,0.01165,0.11,hv,hv70235252,2018-06-05T13:30:40.400Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.23,0.34,3,automatic,hv,hv
2018-06-05T13:27:24.100Z,19.4021664,-155.2779999,0.6,2.62,ml,35,36,0.007915,0.23,hv,hv70235247,2018-06-05T13:33:02.540Z,"5km SW of Volcano, Hawaii",earthquake,0.22,0.23,2.01,23,automatic,hv,hv
2018-06-05T13:26:45.750Z,38.8059998,-122.8195038,2.52,0.9,md,18,77,0.008083,0.04,nc,nc73025921,2018-06-05T13:58:01.198Z,"6km WNW of The Geysers, CA",earthquake,0.28,0.53,0.16,5,automatic,nc,nc
2018-06-05T13:26:11.820Z,19.3996658,-155.3201599,3.29,2.53,ml,11,278,0.03669,0.14,hv,hv70235242,2018-06-05T13:31:51.110Z,"9km WSW of Volcano, Hawaii",earthquake,1.22,1.2,0.2,6,automatic,hv,hv
2018-06-05T13:24:06.700Z,19.4083328,-155.2813263,0.39,2.64,ml,33,47,0.009642,0.22,hv,hv70235237,2018-06-05T13:29:46.190Z,"5km WSW of Volcano, Hawaii",earthquake,0.3,0.15,1.92,25,automatic,hv,hv
2018-06-05T13:22:26.250Z,34.0683333,-117.517,4.26,1.18,ml,34,64,0.01596,0.2,ci,ci37957223,2018-06-05T13:26:13.436Z,"6km WSW of Fontana, CA",earthquake,0.3,0.56,0.202,30,automatic,ci,ci
2018-06-05T13:20:57.200Z,19.3963337,-155.2801666,1.09,2.68,ml,28,50,0.006232,0.3,hv,hv70235222,2018-06-05T13:26:38.370Z,"5km SW of Volcano, Hawaii",earthquake,0.3,0.35,0.37,10,automatic,hv,hv
2018-06-05T13:20:50.160Z,19.3983326,-155.2648315,0.12,2.64,ml,21,49,0.001137,0.2,hv,hv70235227,2018-06-05T13:26:47.070Z,"4km SW of Volcano, Hawaii",earthquake,0.27,0.25,0.42,17,automatic,hv,hv
2018-06-05T13:19:18.710Z,19.3980007,-155.2626648,0.22,2.64,ml,17,85,0.003187,0.24,hv,hv70235217,2018-06-05T13:24:59.400Z,"4km SW of Volcano, Hawaii",earthquake,0.34,0.25,0.43,11,automatic,hv,hv
2018-06-05T13:18:10.360Z,19.4048328,-155.2943268,0.88,2.42,ml,10,138,0.016,0.21,hv,hv70235212,2018-06-05T13:23:51.030Z,"6km WSW of Volcano, Hawaii",earthquake,0.59,0.41,0.2,5,automatic,hv,hv
2018-06-05T13:17:40.770Z,19.4178333,-155.2706604,1.01,2.18,ml,14,82,0.009495,0.16,hv,hv70235207,2018-06-05T13:23:21.920Z,"3km WSW of Volcano, Hawaii",earthquake,0.27,0.29,0.34,9,automatic,hv,hv
2018-06-05T13:17:04.150Z,19.4061661,-155.3563385,0.1,2.55,ml,9,218,0.0766,0.31,hv,hv70235202,2018-06-05T13:23:14.720Z,"12km WSW of Volcano, Hawaii",earthquake,14.54,20.69,0.36,9,automatic,hv,hv
2018-06-05T13:11:31.710Z,19.4106674,-155.2644958,1.39,2.53,ml,29,39,0.004582,0.14,hv,hv70235192,2018-06-05T13:17:12.270Z,"3km SW of Volcano, Hawaii",earthquake,0.3,0.16,0.32,13,automatic,hv,hv
2018-06-05T13:10:49.380Z,19.4168339,-155.276001,1.14,2.53,ml,14,66,0.007685,0.18,hv,hv70235187,2018-06-05T13:16:28.430Z,"4km WSW of Volcano, Hawaii",earthquake,0.32,0.27,0.3,13,automatic,hv,hv
2018-06-05T13:09:35.010Z,19.4043331,-155.2664948,0.85,1.81,ml,13,92,0.006075,0.23,hv,hv70235182,2018-06-05T13:15:17.900Z,"4km SW of Volcano, Hawaii",earthquake,0.37,0.47,0.18,5,automatic,hv,hv
2018-06-05T13:08:17.950Z,19.3934994,-155.2675018,0.14,2.3,md,8,92,0.004918,0.09,hv,hv70235177,2018-06-05T13:14:03.420Z,"5km SW of Volcano, Hawaii",earthquake,0.27,0.2,0.32,5,automatic,hv,hv
2018-06-05T13:06:57.240Z,19.4204998,-155.2669983,2.58,1.9,ml,11,74,0.00625,0.13,hv,hv70235172,2018-06-05T13:12:35.950Z,"3km WSW of Volcano, Hawaii",earthquake,0.44,0.71,0.18,6,automatic,hv,hv
2018-06-05T13:03:07.130Z,18.11,-66.074,31,1.71,md,8,112,0.1482,0.1,pr,pr2018156006,2018-06-05T17:39:06.528Z,"3km ESE of G. L. Garcia, Puerto Rico",earthquake,0.52,0.91,0.57,7,reviewed,pr,pr
2018-06-05T13:02:23.380Z,19.390667,-155.283493,1.24,2.37,ml,23,39,0.004443,0.14,hv,hv70235152,2018-06-05T13:08:08.580Z,"6km SW of Volcano, Hawaii",earthquake,0.21,0.26,0.37,7,automatic,hv,hv
2018-06-05T13:02:18.230Z,19.4185009,-155.2716675,0.78,2.21,ml,20,45,0.008362,0.17,hv,hv70235147,2018-06-05T13:07:59.610Z,"3km WSW of Volcano, Hawaii",earthquake,0.27,0.14,0.35,13,automatic,hv,hv
2018-06-05T12:58:58.350Z,19.3771667,-155.300827,2.99,1.95,ml,7,300,0.03141,0.18,hv,hv70235142,2018-06-05T13:04:37.950Z,"8km SW of Volcano, Hawaii",earthquake,2.21,1.44,0.12,4,automatic,hv,hv
2018-06-05T12:55:49.140Z,19.4018326,-155.267334,1.81,2.05,ml,19,63,0.003777,0.19,hv,hv70235137,2018-06-05T13:01:28.720Z,"4km SW of Volcano, Hawaii",earthquake,0.33,0.24,0.22,10,automatic,hv,hv
2018-06-05T12:53:12.770Z,19.4068336,-155.2704926,2.88,2.15,ml,23,52,0.009527,0.22,hv,hv70235122,2018-06-05T12:58:53.890Z,"4km SW of Volcano, Hawaii",earthquake,0.36,0.44,0.28,14,automatic,hv,hv
2018-06-05T12:52:09.280Z,18.614,-64.6125,33,3.22,md,5,346,1.3233,0.28,pr,pr2018156005,2018-06-05T17:35:32.696Z,"21km N of Road Town, British Virgin Islands",earthquake,5.65,18.42,0.08,4,reviewed,pr,pr
2018-06-05T12:49:56.570Z,19.3953342,-155.2588348,1.16,1.82,ml,16,54,0.007384,0.36,hv,hv70235117,2018-06-05T12:55:37.330Z,"4km SSW of Volcano, Hawaii",earthquake,0.58,0.44,0.23,5,automatic,hv,hv
2018-06-05T12:49:01.250Z,19.4158325,-155.2916718,0.94,1.83,ml,10,152,0.005135,0.24,hv,hv70235112,2018-06-05T12:54:41.340Z,"5km WSW of Volcano, Hawaii",earthquake,1.02,0.3,0.4,5,automatic,hv,hv
2018-06-05T12:46:12.810Z,19.4406662,-155.3074951,3.31,2.16,ml,20,60,0.02493,0.29,hv,hv70235097,2018-06-05T12:51:52.580Z,"7km W of Volcano, Hawaii",earthquake,0.72,1.63,0.19,9,automatic,hv,hv
2018-06-05T12:43:56.710Z,19.4003334,-155.2516632,-0.46,2.28,ml,8,156,0.01372,0.23,hv,hv70235092,2018-06-05T12:49:37.280Z,"3km SSW of Volcano, Hawaii",earthquake,0.47,0.76,0.37,9,automatic,hv,hv
2018-06-05T12:41:35.300Z,19.3961658,-155.260498,1.11,2.33,ml,15,141,0.005617,0.21,hv,hv70235087,2018-06-05T12:47:16.060Z,"4km SSW of Volcano, Hawaii",earthquake,0.45,0.33,0.35,13,automatic,hv,hv
2018-06-05T12:40:26.010Z,19.4098339,-155.2661591,1.75,2.32,ml,24,54,0.006339,0.11,hv,hv70235082,2018-06-05T12:46:06.460Z,"3km SW of Volcano, Hawaii",earthquake,0.22,0.19,0.18,11,automatic,hv,hv
2018-06-05T12:39:04.749Z,63.7161,-164.7742,3.2,2.7,ml,,,,0.88,ak,ak19711124,2018-06-05T12:44:49.139Z,"92km SSE of Nome, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-06-05T12:35:20.470Z,19.4335003,-155.2870026,1.29,2.05,ml,12,87,0.01244,0.17,hv,hv70235072,2018-06-05T12:41:01.340Z,"5km W of Volcano, Hawaii",earthquake,0.38,0.67,0.23,3,automatic,hv,hv
2018-06-05T12:33:13.890Z,19.3938332,-155.2811737,0.58,2.04,ml,11,115,0.007271,0.15,hv,hv70235067,2018-06-05T12:38:53.970Z,"6km SW of Volcano, Hawaii",earthquake,0.25,0.18,0.15,4,automatic,hv,hv
2018-06-05T12:29:00.220Z,19.4134998,-155.2640076,1.04,2.02,md,13,114,0.004144,0.18,hv,hv70235057,2018-06-05T12:32:03.630Z,"3km SW of Volcano, Hawaii",earthquake,0.47,0.29,0.32,3,automatic,hv,hv
2018-06-05T12:28:24.660Z,19.4144993,-155.2754974,0.64,1.96,ml,19,47,0.008705,0.21,hv,hv70235052,2018-06-05T12:34:05.510Z,"4km WSW of Volcano, Hawaii",earthquake,0.35,0.23,0.46,11,automatic,hv,hv
2018-06-05T12:25:01.260Z,19.4168339,-155.2798309,3,1.74,md,12,192,0.008165,0.11,hv,hv70235042,2018-06-05T12:28:05.280Z,"4km WSW of Volcano, Hawaii",earthquake,1.35,0.69,0.28,8,automatic,hv,hv
2018-06-05T12:24:47.940Z,38.8118324,-122.8150024,2.32,0.9,md,16,85,0.01146,0.03,nc,nc73025901,2018-06-05T12:56:01.878Z,"6km NW of The Geysers, CA",earthquake,0.28,0.68,0.02,3,automatic,nc,nc
2018-06-05T12:23:59.690Z,37.6541667,-118.83,0.98,0.5,md,9,153,0.01684,0.03,nc,nc73025906,2018-06-05T16:49:28.174Z,"13km E of Mammoth Lakes, CA",earthquake,0.36,0.74,0.194,8,reviewed,nc,nc
2018-06-05T12:22:59.230Z,34.2288333,-117.5436667,5.37,0.56,ml,13,66,0.04178,0.19,ci,ci37957191,2018-06-05T12:26:34.095Z,"5km SW of Lytle Creek, CA",earthquake,0.44,0.98,0.255,8,automatic,ci,ci
2018-06-05T12:21:41.860Z,19.3931675,-155.2826691,0.37,2.51,ml,26,48,0.006662,0.16,hv,hv70235027,2018-06-05T12:27:22.740Z,"6km SW of Volcano, Hawaii",earthquake,0.19,0.16,0.48,19,automatic,hv,hv
2018-06-05T12:19:50.330Z,19.4300003,-155.2781677,-0.47,2.52,ml,28,65,0.005242,0.21,hv,hv70235017,2018-06-05T12:25:31.210Z,"4km W of Volcano, Hawaii",earthquake,0.22,0.22,0.49,19,automatic,hv,hv
2018-06-05T12:17:39.060Z,19.3988342,-155.2779999,0.49,2.76,ml,26,70,0.005367,0.16,hv,hv70235012,2018-06-05T12:23:19.500Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.15,0.38,14,automatic,hv,hv
2018-06-05T12:16:54.520Z,37.6563333,-118.8328333,1.24,0.38,md,9,145,0.0185,0.05,nc,nc73025891,2018-06-05T16:46:27.553Z,"13km E of Mammoth Lakes, CA",earthquake,0.69,1.12,0.173,8,reviewed,nc,nc
2018-06-05T12:15:21.390Z,19.4008331,-155.2878265,-0.22,2.58,ml,32,36,0.01445,0.24,hv,hv70235007,2018-06-05T12:21:01.300Z,"6km WSW of Volcano, Hawaii",earthquake,0.2,0.3,2.02,23,automatic,hv,hv
2018-06-05T12:12:50.588Z,58.0618,-154.8671,93.9,1.4,ml,,,,1.12,ak,ak19711121,2018-06-05T12:19:02.680Z,"78km NW of Larsen Bay, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-06-05T12:10:29.490Z,19.4023342,-155.2736664,1.11,1.96,ml,17,61,0.00693,0.12,hv,hv70234997,2018-06-05T12:16:09.430Z,"4km SW of Volcano, Hawaii",earthquake,0.26,0.36,0.15,8,automatic,hv,hv
2018-06-05T12:07:16.860Z,19.3985004,-155.2613373,-0.16,2.11,ml,11,137,0.004439,0.12,hv,hv70234987,2018-06-05T12:12:55.890Z,"4km SW of Volcano, Hawaii",earthquake,0.21,0.28,0.44,8,automatic,hv,hv
2018-06-05T12:06:06.200Z,19.3875008,-155.2813263,1.22,1.83,ml,15,73,0.001031,0.2,hv,hv70234982,2018-06-05T12:11:43.750Z,"6km SW of Volcano, Hawaii",earthquake,0.39,0.54,0.25,7,automatic,hv,hv
2018-06-05T12:03:21.460Z,19.4168339,-155.2841644,1.06,2.28,ml,22,39,0.0008262,0.15,hv,hv70234977,2018-06-05T12:09:04.290Z,"5km WSW of Volcano, Hawaii",earthquake,0.29,0.24,2.33,14,automatic,hv,hv
2018-06-05T12:02:56.020Z,19.3990002,-155.2676697,0.14,2.38,ml,13,80,0.00172,0.26,hv,hv70234972,2018-06-05T12:08:46.560Z,"4km SW of Volcano, Hawaii",earthquake,0.44,0.36,0.51,13,automatic,hv,hv
2018-06-05T12:02:38.940Z,19.4146671,-155.2971649,2.62,2.5,ml,8,219,0.02935,0.1,hv,hv70234962,2018-06-05T12:08:21.040Z,"6km WSW of Volcano, Hawaii",earthquake,0.98,0.63,0.43,11,automatic,hv,hv
2018-06-05T11:57:34.940Z,19.3968334,-155.2663269,1.81,2.63,ml,22,54,0.001429,0.19,hv,hv70234952,2018-06-05T12:03:19.490Z,"4km SW of Volcano, Hawaii",earthquake,0.35,0.31,2.48,13,automatic,hv,hv
2018-06-05T11:54:22.550Z,19.3419991,-155.2539978,-0.98,2.39,ml,12,85,0.03074,0.26,hv,hv70234937,2018-06-05T12:00:02.160Z,"9km S of Volcano, Hawaii",earthquake,0.38,0.3,2.58,12,automatic,hv,hv
2018-06-05T11:53:13.270Z,19.4295006,-155.264328,0.22,2.35,ml,17,158,0.003978,0.12,hv,hv70234932,2018-06-05T11:58:53.240Z,"2km W of Volcano, Hawaii",earthquake,0.28,0.14,0.36,5,automatic,hv,hv
2018-06-05T11:52:07.710Z,33.4916667,-116.7848333,4.88,0.81,ml,34,35,0.08357,0.21,ci,ci37957183,2018-06-05T12:40:05.510Z,"9km NE of Aguanga, CA",earthquake,0.25,1.47,0.114,25,reviewed,ci,ci
