subject,body,spam
shut - in of # 986315,"meter 0986315 shawnee spring common point was shut - in on 6 / 13 / 2000 due to
high dew point . repeated attempts by the pumper to dry out the gas have
failed . the meter will remain shut - in until the dew point is within pipeline
quality specs .
gary h .
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary a hanks / hou / ect on 06 / 15 / 2000 10 : 47
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sean j smith 06 / 14 / 2000 05 : 55 pm
to : gary a hanks / hou / ect @ ect
cc :
subject : # 986315
i received a call from carl drachenberg with hms at approximately 1 : 45 pm on
6 / 13 / 00 stating that he pulled a stick on meter # 986315 and it was wet and
flowing at 35 lb . i asked gary hanks what we want to do and he said to have
carl notify the producer and shut it in . i notified carl and he got in
touch with the producer and they shut the compressor down at approx . 2 pm on
6 / 13 and at that time there wasn ' t any flow . carl came back out there at 8
am on 6 / 14 and closed the valve and removed the chart . there was no flow
after they shut the unit down and it was flowing between 500 and 300 mcf .
the meter is now out of service .
any questions - you know where to find me .",0
"enron / hpl actuals for august 18 - 20 , 2000","august 18 , 2000
teco tap 20 . 000 / enron ; 114 . 167 / hpl iferc
ls hpl lsk ic 20 . 000 / enron
august 19 , 2000
teco tap 20 . 000 / enron ; 96 . 667 / hpl iferc
ls hpl lsk ic 20 . 000 / enron
august 20 , 2000
teco tap 20 . 000 / enron ; 102 . 500 / hpl iferc
ls hpl lsk ic 20 . 000 / enron",0
gmt . inc .,"tom ,
please create a spot ticket for gas that commence flowing on 1 / 14 / 00 at 8 : 30
am . the pertinent information is as follows :
counterparty mtr . volume price
gmt , inc . 9814 500 mmbtu / d 100 % if / hsc
should you have any questions , please give me a call .
thanks ,
vlt
x 3 - 6353",0
"enron / hpl actuals for november 16 , 2000",teco tap 40 . 000 / enron ; 30 . 833 / hpl gas daily,0
new nat gas delivery location,"ed and elsa
here ' s is some suggested language , based upon our conversation . please
review and offer comments .
fyi : all new trade components ( i . e . delivery location ) require the review of
legal , david forster and marcello romano for approval .
the transaction is for delivery of pool gas via the houston pipe line
company , as scheduled by the counterparty , to either ( i ) houston ship channel
zone 10 , meter # 7342 or ( ii ) houston ship channel zone 10 at any one of the
following points : brandywine ( meter # 1505 ) ; destec enerfin ( meter # 1563 ) ;
dupont ( meter # 1019 ) ; equistar ( meter # 1373 ) ; ethyl ( albemarle ) ( meter #
1188 ) ; exxon ( meter # 1031 ) ; georgia gulf corp . ( meter # 713 ) ; phibro energy
inc . ( valero ref . ) ( meter # 1394 ) ; shell east ( meter # 1060 ) ; occidental
battleground ( meter # 1485 ) ; igs dodge street ( meter # 1508 ) ; millennium
petro polymer ( meter # 1553 ) .
dale
- - - - - - - - - - - - - - - - - - - - - - forwarded by dale neuner / hou / ect on 12 / 27 / 99 03 : 54 pm
- - - - - - - - - - - - - - - - - - - - - - - - - - -
dale neuner on 12 / 22 / 99 10 : 15 : 15 am
to : elsa villarreal / hou / ect @ ect , daren j farmer / hou / ect @ ect , elizabeth l
hernandez / hou / ect @ ect
cc : jennifer deboisblanc denny / hou / ect @ ect , marcello romano / lon / ect @ ect ,
david forster / lon / ect @ ect
subject : new nat gas delivery location
pursuant to our recent confirmation i have drafted some suggested language
for the houston ship channel pooling point :
abbreviation : hpl - hsc
sort code : [ tbd ]
description : the transaction is for delivery via the houston pipe line
company to the houston ship channel , zone 10 .
elsa and darren ; please approve or offer comments regarding the content of
description .",0
training resources and cost to attend energy operations systems,"classes
as a follow - up to stephen schwarz ' s message below regarding training
resources , i wanted to let everyone know that there will not be a charge in
2000 for any energy operations employee to attend any training classes that
have been developed by energy operations ( i . e . , sitara , unify and
magellan / livelink ) . there will be a charge to your rc , however , if an energy
operations employee signs up for one of these classes and fails to cancel
within the established guidelines .
i know there was a lot of concern regarding your budget and costs for
training classes after the corporate training department announced that there
would be a change in policy this year . your rc will be charged a fee for any
course that your employee signs up and attends through ernie . i just wanted
to clarify the costs associated for any systems training detailed above will
not be charged to your rc even though you and your employees use ernie to
register for these classes . i have instructed the people in the training
department who are in charge of billing to follow this policy . if you
receive a charge in error on your rc report , please let me know immediately
so that i can make the necessary corrections .
if you have any further questions , please call me . thanks .
lisa cousino
x 3 - 6343
- - - - - - - - - - - - - - - - - - - - - - forwarded by lisa b cousino / hou / ect on 03 / 01 / 2000
07 : 06 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : stephen p schwarz 02 / 29 / 2000 09 : 42 am
to : sally beck / hou / ect @ ect , kristin albrecht / hou / ect @ ect , sheila
glover / hou / ect @ ect , d todd hall / hou / ect @ ect , peggy hedstrom / cal / ect @ ect ,
brenda f herod / hou / ect @ ect , michael e moscoso / hou / ect @ ect , scott
pleus / hou / ect @ ect , brent a price / hou / ect @ ect , leslie reeves / hou / ect @ ect , mary
solmonson / hou / ect @ ect , robert superty / hou / ect @ ect , susan
harrison / hou / ect @ ect , steve venturatos / hou / ect @ ect , scott mills / hou / ect @ ect ,
sheri thomas / hou / ect @ ect
cc : lisa b cousino / hou / ect @ ect
subject : training resources
beginning march 1 , the training resources you have been using from the
project sirius team , ( elwanda bennett and joyce jenkins ) , will no longer be
available . we have outsourced the delivery of operational training ,
including the systems - oriented training that elwanda and joyce have been
delivering , to teamleadership center . many of you are already working with
teamleadership on the development of operational training for energy
operations . teamleadership will be working this year to integrate our
systems training and operational training into a single coordinated training
effort tailored to the needs of energy operations .
in an effort to manage effectively both priorities and dollars spent , lisa
cousino will be ena ' s point of contact with teamleadership . please make lisa
aware of all services requested from teamleadership . if you have any
questions about these arrangements , please call lisa at x 36343 .
please share this information with your staff .
stephen",0
re : ces deal summary,"ami ,
please add rhonda robinson and howard camp to the list . the items i would
like addressed are as follows :
vm - allocations :
1 . list of meters and allocation structures - callouts , swings , etc .
2 . listing of external meter contacts
3 . copies of expense contracts
4 . overview of the transactions - this may not be accomodatable in this
meeting , but an overview of some of the transactions , i . e . from deal to
settlements
5 . ensure all expense contracts are set up
6 . discussion of any impact to any of the major industrial customers , i . e .
entex , equistar , hl & p
vm - transport
1 . imbalances
2 . # of shippers , contracts , invoices
3 . any special transactions that need to be handled via the settlements
process
4 . copies of contracts
5 . customer contact listing for each account
i realize that all of these things may not be addressed in this meeting , but
they have to be answered by someone very soon in order for vm to do our
jobs . hopefully , if the ces representative cannot answer the questions , he
can direct me to someone who can and quickly . let me know if you have any
questions . thanks for your role in this meeting .
from : ami chokshi @ enron 01 / 20 / 2000 10 : 06 am
to : brenda f herod / hou / ect @ ect , dscottl @ . com , daren j
farmer / hou / ect @ ect , rita wynne / hou / ect @ ect , lisa csikos / hou / ect @ ect , pat
clynes / corp / enron @ enron , eric bass / hou / ect @ ect
cc : yvette g connevey / corp / enron @ enron , pamela chambers / corp / enron @ enron
subject : ces deal summary
the meeting has been time has been changed to 11 : 30 am - 1 : 00 pm . please let me
know if you ' ll be able to attend and / or if there will be any others
attending , so we can have an accurate head count for lunch .
ami
3 - 9272
the following meeting is to discuss the new deals that have come to the texas
desk from ces
topic : ces deals summary
date : friday , january 21
time : 2 : 00 pm - 3 : 00 pm
location : 3749
please e - mail me prior to friday with any specific questions that you may
want to address .
thank you ,
ami
3 - 9272",0
logistics enom team,"hal , as per our discussion here are the logistics people that will be
dedicated to the enom development :
key subject experts :
the logistics managers for each of the various regions will be the key
subject expert and will pull in the added resources ( individual pipeline
schedulers ) for the really detailed work . as far as time dedicated we will
commit to as much time as needed with the understanding that these
individuals do have the responsibility for managing all of the scheduling
activity in their regions . bottom line is during bid - week and when
emergencies develop they will be needed at their trading desks . all meetings
with these individuals should be scheduled for the afternoon .
kathy kelly - northeast
ed terry - southeast
randy gay - west
george smith - central
darren farmer - texas
project steering team :
bob superty
randy gay
george smith
as discussed we might have to bring in others when the product starts to take
shape and is impacting other areas ( global for example )
i look forward to our next meeting , thanks - bob x 30957",0
"enron actuals for june 30 , 2000","june 30 , 2000
teco tap 8 . 750 / enron ; 61 . 250 / gas daily",0
re : noms / actual flow for 3 / 19 / 01,"we agree
"" eileen ponton "" on 03 / 20 / 2001 10 : 05 : 59 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 3 / 19 / 01
date nom mcf mmbtu
3 / 19 / 01 60 , 000 59 , 944 61 , 562
btu = 1 . 027",0
98 - 6892,"98 - 6892 has a spill - over of 15 decatherms for 5 / 24 / 2000 . can you please
extend deal ticket 274443 for cover this ?
thank
- jackie -
3 - 9497",0
meter # 1591 lamay gaslift,"daren - meter 1591 has never flowed the entire nom . this meter is has been
over nominated . it has had a nom of 1 . 000 / day ( 429 . 000 total mmbtus ) since
1 / 28 / 99 and has flowed only 11 . 692 . am i correct to say that this meter
needs a lower nom ? please let me know if i should look out for a lower nom
in may . pat seems to think this may be affecting the p / l for april . we only
have estimates / actuals of zero on 4 / 1 & 4 / 2 .
please let me know if this makes sense .
- aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 04 / 24 / 2000 12 : 50
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : pat clynes @ enron 04 / 24 / 2000 12 : 43 pm
to : aimee lannou / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect
subject : meter # 1591 lamay gaslift
aimee ,
please check meter # 1591 lamay gas lift . it doesn ' t appear to have very much
flow and the
bav is showing the nom volume . this could be adversely affecting the risk
numbers . pat",0
panenergy marketing march 2000 production,"daren ,
this relates to the discussion we had yesterday afternoon . have we made any
progress on these issues ?
thanks .
- - - - - - - - - - - - - - - - - - - - - - forwarded by lisa csikos / hou / ect on 05 / 31 / 2000 01 : 33
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
katherine herrera @ enron
05 / 31 / 2000 10 : 56 am
to : lisa csikos / hou / ect @ ect
cc : sherlyn schumack / hou / ect @ ect
subject : panenergy marketing march 2000 production
fyi -
the pricing items noted below are outstanding for march 2000 production .
furthermore , i am awaiting resolutions from sherlyn on the pg & e ' s allocations
for feb . & mar . 2000 .
thanks
- - - - - - - - - - - - - - - - - - - - - - forwarded by katherine herrera / corp / enron on
05 / 31 / 2000 10 : 46 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
katherine herrera
04 / 20 / 2000 08 : 31 am
to : daren j farmer / hou / ect @ ect
cc :
subject : panenergy marketing march 2000 production
deal # 157288
per our conversation yesterday afternoon , pls . separate the centena term deal
from the spot deal in sitara for march 2000 production .
also , i need to have the price for the east texas redelivery changed in
sitara from hs index $ - . 085 to hs index $ - . 0825 . this is per the contract
the price for this redelivery point .
thanks
katherine
5 - 8643",0
re : potential list fo 9 / 00,"correction , that ' s meter # 5228
vlt
susan
smith
08 / 24 / 2000 03 : 40 pm
to : daren j farmer / hou / ect @ ect
cc : vance l taylor / hou / ect @ ect , melissa graves / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect
subject : potential list fo 9 / 00
daren :
the correct meter number for north central is 5288 .
thanks ,
susan
x 33321
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan smith / hou / ect on 08 / 24 / 2000 03 : 34
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
susan
smith
08 / 24 / 2000 03 : 33 pm
to : daren j farmer / hou / ect @ ect
cc : vance l taylor / hou / ect @ ect , melissa graves / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect
subject : potential list fo 9 / 00
daren :
per vance ' s discussion ' s with the deal makers , the following are potential
deals for 9 / 00 not included in vance ' s number :
north central - - mcmurrey # 2 - meter 2697 - mid month - 2000 mcfd ( approx ) - gas daily
helmrich and payne - ballard # 1 - new meter - mid month - 2000 mcfd ( approx ) - gas
daily
kcs resources - dickenson bayou - meter 9797 - midmonth - 10 , 000 mcfd ( approx ) - gas
daily
let us know if you need any additional information .
susan smith
x 33321",0
monthly manangement lunch,"please clear your calendars for lunch on wednesday , march 8 th from 11 : 30 -
1 : 00 . this will be a lunch for the management team only ( meaning no brenda ) .
i will take suggestions until monday and then i will be making reservations .
if you have any questions , please call !
thank you !
yvette
x 3 . 5953",0
nomination 4 / 1 / 2000,"per our discussion , eff 4 / 1 / 2000 the nom to eastrans will be 60 , 000 mmbtu / d ,
with 50 , 000 going to pg & e , 2 , 200 into
hpl ' s cartwheel at carthage , and 7 , 800 from fuels cotton valley to hpl .
eff 4 / 4 , we hope to deliver 15 , 000 into hpl at the lone star / hpl interconnect
in
rusk county .
we will formally nominate for the 4 th on monday morning . the price we will
sell
this additional
gas to you for is hsc - $ . 07 .",0
"hpl nom for april 21 - 23 , 2001","( see attached file : hplno 421 . xls )
- hplno 421 . xls",0
neon lesson # 5,"please respond to here is the lesson for lesson 5 . have fun !
- experiencing god week 5 . doc",0
fw : texas map,check these out :,0
re : tenaska iv transport 10 / 00,"that ' s great . what about deal 452475 ? we have $ 0 . 10 and we are being billed
$ 0 . 11 for meter 25000200 on contract 1856 . also , i faxed the oct 2000 txu
invoices to trisha hughes so she can look into the dec 2000 and forward
problem .
megan",0
aspect resources,"confirmation :
rgds ,
ellen
x 54099",0
change of control provisions,"as many of you know , i have a provision in my employment contract which provides for a payment of $ 20 million per year for the remaining term of my contract in the event of a change of control of enron . the merger with dynegy , or a similar transaction with any other company , would trigger this provision on closing . assuming the merger with dynegy is closed within 6 - 9 months , as we expect , this provision would entitle me to total payments of slightly more than $ 60 million .
many ceos have change of control provisions in their employment contracts and mine has been in place since 1989 . but given the current circumstances facing the company and our employees , i have been giving a lot of thought these last few days to what to do about this payment . initially , i thought i would use part of the funds for a foundation for our employees and take the remainder in stock and cash . however , after talking to a number of employees this afternoon , i have decided that the best course of action would be for me to waive my right to any of this payment . therefore , at closing , i will receive no payments under this provision .
i know this action does not remedy the uncertainty that you and your families face . but please know that i will continue to do everything in my power to serve the best interests of enron ' s employees and shareholders . i am still very proud of what we have built at enron , and i want to continue working with all of you to correct the problems and restore enron to its rightful place in the energy industry .
thank you .",0
fwd : per my message this morning,"janet and daren ,
attached is a gas supply proposal i receive from duke energy for delivery to the mission interconnect on tetco . they also provided me a quote on tenn , but it was way off base . this deal in combination with swing from net may be a good start for the month of may . the deal provides swing flexibility and would allow us to get our feet wet and see how net operates the mission system when they are not providing all of the delivered gas . let me know what you think . i have had discussions with elpaso / pg thu , 19 apr 2001 14 : 55 : 32 - 0400
received : from cyclops ( unverified ) by ybor - 1 mail . corp . teco . net ( content technologies smtprs 4 . 1 . 5 ) with smtp id for ; thu , 19 apr 2001 14 : 55 : 01 - 0400
received : from deinetol . dukepower . com ( deinetol . dukepower . com [ 148 . 134 . 58 . 199 ] ) by mxsdo 2 . dukepower . com ( 8 . 9 . 3 + sun / 8 . 9 . 1 ) with esmtp id oaa 28820 for ; thu , 19 apr 2001 14 : 55 : 30 - 0400 ( edt )
subject : per my message this morning
to : ebronner @ tecoenergy . com
x - mailer : lotus notes release 5 . 0 . 4 june 8 , 2000
message - id :
from : "" alan taylor ""
date : thu , 19 apr 2001 13 : 58 : 50 - 0500
x - mimetrack : serialize by router on deinetol / dukepower ( release 5 . 0 . 3 | march 21 , 2000 ) at 04 / 19 / 2001 02 : 55 : 30 pm
mime - version : 1 . 0
content - type : multipart / mixed ; boundary = "" 0 _ _ = 85256 a 330067 f 5108 f 9 e 8 a 93 df 938690918 c 85256 a 330067 f 510 ""
content - disposition : inline
( see attached file : tampaelectric . doc )
- tampaelectric . doc",0
re : occidental battleground meter 98 - 1485 october 2000,thank you,0
clmp outage,"fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 03 / 22 / 2000
02 : 11 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : gary w lamphier 03 / 22 / 2000 02 : 10 pm
to : robert e lloyd / hou / ect @ ect
cc :
subject : clmp outage
- - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 03 / 22 / 2000
02 : 09 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
groetzingerp @ valero . com on 03 / 22 / 2000 11 : 11 : 52 am
to : gary . w . lamphier @ enron . com
cc : oliverd @ valero . com
subject : clmp outage
gary - latest update on clear lake methanol plant outage .
- - - - - forwarded by pete groetzinger / peusa on 03 / 22 / 2000 11 : 10 am - - - - -
danny oliver
to : pete groetzinger / peusa @ peusa
03 / 22 / 2000 cc :
11 : 07 am subject : clmp outage
as you are aware , we broke a shaft in the mug compressor on the methanol
unit at clear lake on saturday march 11 th . we originally anticipated a two
week outage for repairs . unfortunately , due to delays in the delivery of a
coupling needed to finish repairs , we have extended the downtime for
another week . we hope to be up april 2 nd or 3 rd if all goes well .",0
unify down - unix team working on it,"the unix server that unify production runs on ( proton ) went down this
morning . the unix team is working on it . i will let you know as soon as
unify is available .
d . n .",0
meter 984132 for 1 / 16 / 99,"daren ,
below is volume management ' s answers to gary ' s questions .
i ' m now awaiting on an e - mail from gary as to the direction that he is going
to take . i will follow suit according to his instructions .
should you come aboard , i ' ll await your decision as well .
again , thanks .
- jackie -
3 - 9497
- - - - - - - - - - - - - - - - - - - - - - forwarded by jackie young / hou / ect on 08 / 23 / 2000 02 : 19
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : sherlyn schumack 08 / 22 / 2000 02 : 07 pm
to : jackie young / hou / ect @ ect , karen lindley / corp / enron @ enron
cc : gary w lamphier / hou / ect @ ect
subject : meter 984132 for 1 / 16 / 99
here is the issue for 1 / 16 / 99 at meter 984132 .
20 , 000 mmbtu were confirmed for adonis in pops . 10 , 000 mmbtu on day 5 and
day 16 . day 16 is not valid for deal 51862 ( track id 6155 ) , which is where
10 , 000 was confirmed . the actual sale to adonis was 10 , 000 which was
invoiced and paid by adonis . we are trying to clear the feedback error
report . my question is why was 10 , 000 confirmed on 1 / 16 / 99 if the date is
not valid for the deal ?
when karen allocates the actual 10 , 000 it is prorating 5 , 000 for each day
that is confirmed ( the 5 th and 16 th ) .
should the whole 10 , 000 be allocated to the 5 th or should 5 , 000 be allocated
to each day ? if 5 , 000 should be allocated to each day , the 16 th needs to be
added to the deal .",0
intra day midcon,"- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 06 / 30 / 2000
10 : 02 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 06 / 30 / 2000 09 : 52 : 41 am
to : ami _ chokshi @ enron . com
cc :
subject : intra day midcon
( see attached file : hpl - june . xls )
- hpl - june . xls",0
automate load of scheduled quantity sirpo 0067,"i have attached a draft of the enhancement to automate the load of scheduled quantities . please review and provide your input by cob 10 / 10 / 01 . if you need to discuss this document , let know and i will make arrangements to meet with you . once we get your input , we will issue an updated document and meet with it to prioritize .
thanks ,
tammy",0
"wagner & brown , cornelius lease , meter # 986589 - 10","fyi ,
vlt
x 3 - 6353
- - - - - - - - - - - - - - - - - - - - - - forwarded by vance l taylor / hou / ect on 02 / 23 / 2001
02 : 46 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
jerry bubert @ enron
02 / 23 / 2001 01 : 39 pm
to : brad blevins / hou / ect @ ect , vicente sarmiento / gco / enron @ enron
cc : brian m riley / hou / ect @ ect , vance l taylor / hou / ect @ ect , george
weissman / hou / ect @ ect , joe zernicek / gco / enron @ enron , lisa hesse / hou / ect @ ect ,
lauri a allen / hou / ect @ ect , j r fosdick / gco / enron @ enron
subject : wagner & brown , cornelius lease , meter # 986589 - 10
per our recent discussions , please evaluate the above gas stream for
reconnection into hpl . this gas is presently being produced into dow
pipeline . an existing , three - inch meter tube is in place , and the gas can be
switched by opening and closing existing valves ? a copy of a recent gas
analysis has been provided . the expected gas flow is 9000 to 10 , 000 mcf / d .
mr . matt johnson with wagner hence , enhanced production . i would
attempt to obtain at least a year ' s commitment of this gas from wagner &
brown . mr . johnson did not want to flow this gas for march since the
three - inch run could not handle the total volume , and he did not want to
split the flow . operational logistics were also questionable ( compression ,
etc . ) . if you need further info , please advise . thanks . jab",0
re : ken petroleum corporation,"fyi for you daren
- - - - - - - - - - - - - - - - - - - - - - forwarded by tom acton / corp / enron on 02 / 29 / 2000 04 : 27
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : melissa graves @ ect 02 / 29 / 2000 04 : 10 pm
to : julie meyers / hou / ect @ ect , tom acton / corp / enron @ enron
cc : donald p reinhardt / hou / ect @ ect , susan smith / hou / ect @ ect , vance l
taylor / hou / ect @ ect , george weissman / hou / ect @ ect
subject : re : ken petroleum corporation
pete layden # 1 well
one more request . . . .
the ken petroleum contract : 96019316 will terminate tonight ( 2 / 29 / 00 ) ! i
believe that also means that the deal attached to this contract will
terminate . it covers meter 6834 .
tom , can you put in the following one month ticket :
counterparty meter volumes price
ken petroleum corporation 6834 89 mmbtu if / hsc less $ 0 . 41
julie , can you confirm via a gtc spot , per george ' s request .
thank you for handling on such short notice .
melissa
enron north america corp .
from : george weissman 02 / 29 / 2000 02 : 34 pm
to : melissa graves / hou / ect @ ect
cc : shawna flynn / hou / ect @ ect , robert walker / hou / ect @ ect , jill t
zivley / hou / ect @ ect
subject : ken petroleum corporation
pete layden # 1 well
melissa , please paper this deal for march with either ( preferably ) a spot gtc
or a firm , one month gtc . the firm contract has not yet been requested from
legal due to facility issues .
george x 3 - 6992",0
"enron / hpl actuals for august 15 , 2000","teco tap 120 . 000 / hpl iferc ; 20 . 000 / enron
ls hpl lsk ic 20 . 000 / enron",0
re : meter 0984179 sept 00,"nick ,
i have reallocated the above referenced meter , per daren and clem ' s
instructions . all of the gas is on the mjg deal , as the ticket was valid
through october , 2000 . please call clem if you have any questions .
mary",0
2000 plan allocations and january allocations,"please read brian ' s memo below . we spoke briefly about this yesterday in the
staff meeting . i have copied each of you on a memo earlier today where i
have provide the 2000 plan allocations . please note that we were not making
changes to the plan , only breaking the gas asset group into smaller buckets .
any chnages which have been made since the budget was approved are not
reflected on the allocation sheet . rather they are reflected on the 1 / 00
allocations , and they will require explanations each month as all variances
from plan do . this includes new rc ' s which have set up , etc .
i need each of you to review the 2000 plan allocations as i submitted them
earlier today , and provide an accurate allocation of your rc for 1 / 00 . what
has your group spent their time on in 1 / 00 ? ? ? please be aware that we could
receive questions from the commercial teams , so document your logic . some
things to consider :
project sally - allocate to gas network development
project hurricane - allocate to ? ? ? ? - ( i have a call into jim coffey )
denver business - allocate to rocky mountain asset originations
if you have some other activities and your not sure where to allocate them ,
either call me , jackie nelson or jim coffey .
one other thing to note : the network trading group will be further broken
down into 2 groups : trading ( tom martin and jim schwieger ) and
transportation ( ed gottlob ) . although the attached worksheet does not
include this breakdown , please include it in yours .
i would like you allocations back to me no later than thursday , 1 / 20 @
3 : 00 pm . thanks .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 01 / 19 / 2000
05 : 36 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
brian heinrich
01 / 14 / 2000 05 : 07 pm
to : robert superty / hou / ect @ ect , brent a price / hou / ect @ ect , susan
harrison / hou / ect @ ect , brenda f herod / hou / ect @ ect , bob shults / hou / ect @ ect ,
sheila glover / hou / ect @ ect , scott pleus / hou / ect @ ect , d todd hall / hou / ect @ ect ,
mary solmonson / hou / ect @ ect , stephen p schwarz / hou / ect @ ect
cc : sally beck / hou / ect @ ect , lisa b cousino / hou / ect @ ect
subject : 2000 plan allocations and january allocations
the attached files contain the allocation percentages for 2000 plan , january
2000 actuals and a description of the new assets teams .
please update the 2000 plan file to reflect the following changes to the
assets team . the assets team is now broken out into the following "" groups ""
which are described in the attached word document :
rc # team name rc owner
the 2000 plan file now has columns for the above teams , please take the
percentage that was previously allocatated to assets ( which is in the
executive column ) and reallocate it among all of the teams except rocky
mountain asset originations that you support . i have already inserted the
new percentages to be used for rocky mountain , which are based on a portion
of the upstream origination allocation that was determined by the assets
group . consequently i have changed the allocation percentage for upstream
origination . i have also protected all of the cells except the ones you need
to change to avoid confusion .
i also need you to update the percentages to be used for january 2000
actuals . i have added the new rc ' s that we have set up since plan has been
complete , so please make sure you have each rc 100 % allocated .
i will need the updated plan percentages returned to me by noon wednesday
january 19 th , and the updated january 2000 percentages returned to me by end
of day friday january 21 st .
thanks for your help in getting these updated .
brian",0
net out with kinder morgan - beginning march 21 st,"megan / kim - - -
please make a note that we did a deal with kinder morgan that nets out and
should not be billed or paid . the purchase deal ticket is 682244 @ hardy st .
# 980068 & and the sale is 682229 @ mobil beaumont # 981040 for a volume of
30 . 000 mmbtu .
let me know if you have any questions .
thanks ,
mark
x 33396",0
calpine daily gas nomination,">
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc",0
"hpl nom for may 3 , 2001","( see attached file : hplno 503 . xls )
- hplno 503 . xls",0
natural gas,"our ceo was contacted by a david gardner , president of gardner energy in
houston regarding a five - year package of gas . i spoke to him only briefly
but did not get a good feeling about him or his deal . do you know of this
firm ? i was unable to pull up anything on the internet . i suspect he ' s
just a marketer .
don ' t spend any time on this . i was just curious as to whether or not you
know of him or his firm . thanks .",0
re : tglo status,"sorry bout the first comment , did not totally understand . . . we will handle this via the oa process , where i ' m working with the oa group that will allow us a bucket of income or loss and we will run this through tom ' s p parker , megan ; boyt , eric ; farmer , daren j .
cc : bryan , gary ; pond , jim ; helton , susan ; roberts , linda
subject : re : tglo status
cost centers 11814 and 27117 are rolling to texas gas trading .
- - - - - original message - - - - -
from : coffey jr . , jim
sent : tuesday , october 30 , 2001 10 : 05 am
to : parker , megan ; boyt , eric ; farmer , daren j .
cc : bryan , gary ; pond , jim ; helton , susan ; east , laynie ; roberts , linda
subject : re : tglo status
megan
as i mentioned to you yesterday , it still looks like the volumes for gas delivered to tx glo do not have linda robert ' s origination fee deducted . do we need to execute a pma with txglo to deduct those volumes from the next delievery ?
also isn ' t there an entry that is missing in your file to capture the $ cost of gas for the gas delivered to txglo ? is that being captured in unify or is it being manually entered by gas accounting ?
darren
do we need to execute a seperate deal ticket for the origination deduct ?
susan / laynie
what busines unit are these cost centers rolling up to ( 11814 coffey jr . , jim
subject : tglo status
eric :
i reviewed the gas deals on franks ' spreadsheet and they agree with what is in sitara . as soon as i have the october gas numbers , i will forward them to you .
attached is a spreadsheet of the tglo deals booked to the gl to help you with our current settlement position . it is divided by debit / credit entries . when the sales are booked , a debit hits the customer account to create the open sale to apply the cash to and a credit hits the revenue account ( 40004000 third party ; 40005000 intercompany ) for the profit center .
below is a summary of where we are on the sale dollars to egm . i have already sent an email to risk to update the demand fees for the prior months and to book aug and sept crude . i will wait for the go ahead from frank before i final them to the gl . let me know if you have any questions .
megan
status of sales to egm
cleared invoices $ 3 , 905 , 963 . 20
open invoices $ 1 , 177 , 587 . 60
to be booked $ 3 , 093 , 424 . 22
$ 8 , 176 , 975 . 55
>",0
"hpl nom for august 17 , 2000","( see attached file : hplo 817 . xls )
- hplo 817 . xls",0
